planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity,referenced_planet,harmonic_ratio,habitable_zone_status,HZ_distance_recent_venus,HZ_distance_runaway_greenhouse,HZ_distance_maximum_greenhouse,HZ_distance_early_mars
HIP 14342 b,Candidate,3286.203561,16.13423714,HIP 14342,8.66,5688.237937,88.9,2.321686211,,nan,Not in HZ,3.8891843640187087,3.079282041973528,1.7418569923755578,1.6514388991795677
HIP 14342 c,Candidate,3286.203561,16.13423714,HIP 14342,8.66,5688.237937,88.9,2.321686211,,nan,Not in HZ,3.8891843640187087,3.079282041973528,1.7418569923755578,1.6514388991795677
HIP 27629 b,Candidate,414.0385809,1.087,HIP 27629,5.58,4945.0,117.514,69.21165248,,nan,Not in HZ,2.9987448301460558,2.3747973869026193,1.309351894309309,1.2413954686919333
HIP 27629 c,Candidate,99.38413453,0.42,HIP 27629,5.58,4945.0,117.514,69.21165248,,nan,Conservative HZ,2.9987448301460558,2.3747973869026193,1.309351894309309,1.2413954686919333
HIP 41378 g,Candidate,62.06,0.3227,HIP 41378,8.9,6199.0,116.0,3.168954316,,nan,Not in HZ,4.0674247086444595,3.219896689451036,1.8436147105623508,1.7479183389644257
HIP 96516  b,Candidate,100.7901318,0.424,HIP 96516,5.66,4890.0,177.583,146.8259356,,nan,Conservative HZ,3.0125210959061284,2.385742401296737,1.3124233060599333,1.2443090542995079
HIP 96516  c,Candidate,206.1564339,0.683,HIP 96516,5.66,4890.0,177.583,146.8259356,,nan,Conservative HZ,3.0125210959061284,2.385742401296737,1.3124233060599333,1.2443090542995079
HL Tau b,Candidate,3286.203561,13.2,HL Tau,14.49,4000.0,140.0,0.026807485,,nan,Not in HZ,4.677717947212248,3.70517641074793,1.9556562213785458,1.854221666387175
HL Tau c,Candidate,3286.203561,32.3,HL Tau,14.49,4000.0,140.0,0.026807485,,nan,Not in HZ,4.677717947212248,3.70517641074793,1.9556562213785458,1.854221666387175
HL Tau d,Candidate,3286.203561,73.7,HL Tau,14.49,4000.0,140.0,0.026807485,,nan,Not in HZ,4.677717947212248,3.70517641074793,1.9556562213785458,1.854221666387175
HU Aqr (AB) b,Candidate,3278.0,4.29,HU Aqr (AB),15.0,5688.237937,302.4853135,0.078236351,,nan,Not in HZ,5.118529546484507,4.052622513763872,2.2924463452311774,2.173447697123314
HU Aqr (AB) c,Candidate,5646.0,6.18,HU Aqr (AB),15.0,5688.237937,302.4853135,0.078236351,,nan,Not in HZ,5.118529546484507,4.052622513763872,2.2924463452311774,2.173447697123314
IRS 63 b,Candidate,3286.203561,19.0,IRS 63,9.885491525,5688.237937,144.0,1.970281929,,nan,Not in HZ,4.155264934775836,3.289952724194379,1.861027044326932,1.7644229502648114
IRS 63 c,Candidate,3286.203561,37.0,IRS 63,9.885491525,5688.237937,144.0,1.970281929,,nan,Not in HZ,4.155264934775836,3.289952724194379,1.861027044326932,1.7644229502648114
J0337 b,Candidate,142356.0,60.0,J0337,11.29,7800.0,303.0,2.392683513,,nan,Not in HZ,4.91474109803221,3.889413520082163,2.2587613392650345,2.141611012852221
J0337 c,Candidate,262497.0,90.0,J0337,11.29,7800.0,303.0,2.392683513,,nan,Not in HZ,4.91474109803221,3.889413520082163,2.2587613392650345,2.141611012852221
J0337 d,Candidate,3286.203561,120.0,J0337,11.29,7800.0,303.0,2.392683513,,nan,Not in HZ,4.91474109803221,3.889413520082163,2.2587613392650345,2.141611012852221
K00005.01,Candidate,4.780327766,0.0577,2MASS J19185753+4438507,9.885491525,5753.0,302.4853135,8.693846668,,nan,Not in HZ,4.171444778868174,3.3026962327645033,1.8715706945315442,1.7744191838265702
K00005.02,Candidate,7.05185637,16.13423714,2MASS J19185753+4438507,9.885491525,5753.0,302.4853135,8.693846668,,nan,Not in HZ,4.171444778868174,3.3026962327645033,1.8715706945315442,1.7744191838265702
K00521.02,Candidate,10.8204488,0.0958,Kepler-1989 A,14.29,5953.0,1252.13,2.578094557,,nan,Not in HZ,5.076810376611966,4.019258768840527,2.2891649605443556,2.1703374985508366
K00732.02,Candidate,3.29534933,0.044,2MASS J19131869+4722537,9.885491525,5546.0,302.4853135,8.693846668,,nan,Not in HZ,4.120556231977984,3.262616689949306,1.8378764596709993,1.7424749606074734
K00732.03,Candidate,5.25448795,0.06,2MASS J19131869+4722537,9.885491525,5546.0,302.4853135,8.693846668,,nan,Not in HZ,4.120556231977984,3.262616689949306,1.8378764596709993,1.7424749606074734
K00841.03,Candidate,6.54626058,0.0681,2MASS J19285682+4105091,9.885491525,5325.0,302.4853135,8.693846668,,nan,Not in HZ,4.069392702661078,3.2223240832320457,1.8021842222534576,1.7086385724608595
K00841.04,Candidate,269.294246,0.8116,2MASS J19285682+4105091,9.885491525,5325.0,302.4853135,8.693846668,,nan,Conservative HZ,4.069392702661078,3.2223240832320457,1.8021842222534576,1.7086385724608595
K01082.01,Candidate,6.50323791,0.0654,2MASS J19283467+4709264,9.885491525,5258.0,302.4853135,8.693846668,,nan,Not in HZ,4.054656502492209,3.210719674195357,1.791489438153296,1.698500305961999
K01082.02,Candidate,4.09666758,0.048,2MASS J19283467+4709264,9.885491525,5258.0,302.4853135,8.693846668,,nan,Not in HZ,4.054656502492209,3.210719674195357,1.791489438153296,1.698500305961999
K01082.04,Candidate,9.6550435,0.0851,2MASS J19283467+4709264,9.885491525,5258.0,302.4853135,8.693846668,,nan,Not in HZ,4.054656502492209,3.210719674195357,1.791489438153296,1.698500305961999
K01239.01,Candidate,0.783276166,0.0173,2MASS J19284286+4200212,9.885491525,6108.0,302.4853135,8.693846668,,nan,Not in HZ,4.262898265989329,3.374732116153943,1.9287153640404817,1.828600161088532
K01239.02,Candidate,3.17405968,0.0441,2MASS J19284286+4200212,9.885491525,6108.0,302.4853135,8.693846668,,nan,Not in HZ,4.262898265989329,3.374732116153943,1.9287153640404817,1.828600161088532
K01271.01,Candidate,162.0540766,0.6201,2MASS J19370371+4447394,9.885491525,6628.0,302.4853135,8.693846668,,nan,Conservative HZ,4.396851289146761,3.480259363885263,2.006594665427559,1.9024504992437075
K01271.02,Candidate,3286.203561,16.13423714,2MASS J19370371+4447394,9.885491525,6628.0,302.4853135,8.693846668,,nan,Not in HZ,4.396851289146761,3.480259363885263,2.006594665427559,1.9024504992437075
K01445.02,Candidate,54.325574,0.2997,2MASS J18554483+4906371,9.885491525,6343.0,302.4853135,8.693846668,,nan,Not in HZ,4.3242769057919554,3.423083635599395,1.9651414582842859,1.863140139518623
K01445.03,Candidate,20.01959599,16.13423714,2MASS J18554483+4906371,9.885491525,6343.0,302.4853135,8.693846668,,nan,Not in HZ,4.3242769057919554,3.423083635599395,1.9651414582842859,1.863140139518623
K01499.02,Candidate,0.840591182,0.0161,2MASS J19505382+4331387,9.885491525,5440.0,302.4853135,8.693846668,,nan,Not in HZ,4.095554480038416,3.2429266911101187,1.8206928787291703,1.7261845834421385
