planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity
HD 10180 i,Candidate,9.655,0.0904,HD 10180,7.33,5911,39.4,1.55236
HD 10180 j,Candidate,67.55,0.33,HD 10180,7.33,5911,39.4,1.55236
HD 1461 d,Candidate,5000,5,HD 1461,6.64,5765,23.4,1.033788543
HD 1461 e,Candidate,454,1.165,HD 1461,6.64,5765,23.4,1.033788543
HD 163296 b,Candidate,3286.203561,46,HD 163296,6.85,5688.237937,122,23.15899246
HD 163296 c,Candidate,3286.203561,54,HD 163296,6.85,5688.237937,122,23.15899246
HD 163296 d,Candidate,3286.203561,84.5,HD 163296,6.85,5688.237937,122,23.15899246
HD 163296 e,Candidate,3286.203561,137,HD 163296,6.85,5688.237937,122,23.15899246
HD 30177 Ad,Candidate,20.427938,0.1493,HD 30177 A,8.41,5580,54.7,1.106559198
HD 30177 Ae,Candidate,59.992133,0.30618,HD 30177 A,8.41,5580,54.7,1.106559198
HD 4917 c,Candidate,821,16.13423714,HD 4917,8.04,4802,134.4,9.392874884
HD 4917 d,Candidate,1093,16.13423714,HD 4917,8.04,4802,134.4,9.392874884
HIP 14342 b,Candidate,3286.203561,16.13423714,HIP 14342,8.66,5688.237937,88.9,2.321686211
HIP 14342 c,Candidate,3286.203561,16.13423714,HIP 14342,8.66,5688.237937,88.9,2.321686211
HIP 27629 b,Candidate,414.0385809,1.087,HIP 27629,5.58,4945,117.514,69.21165248
HIP 27629 c,Candidate,99.38413453,0.42,HIP 27629,5.58,4945,117.514,69.21165248
HIP 41378 g,Candidate,62.06,0.3227,HIP 41378,8.9,6199,116,3.168954316
HIP 96516  b,Candidate,100.7901318,0.424,HIP 96516,5.66,4890,177.583,146.8259356
HIP 96516  c,Candidate,206.1564339,0.683,HIP 96516,5.66,4890,177.583,146.8259356
HL Tau b,Candidate,3286.203561,13.2,HL Tau,14.49,4000,140,0.026807485
HL Tau c,Candidate,3286.203561,32.3,HL Tau,14.49,4000,140,0.026807485
HL Tau d,Candidate,3286.203561,73.7,HL Tau,14.49,4000,140,0.026807485
HU Aqr (AB) b,Candidate,3278,4.29,HU Aqr (AB),15,5688.237937,302.4853135,0.078236351
HU Aqr (AB) c,Candidate,5646,6.18,HU Aqr (AB),15,5688.237937,302.4853135,0.078236351
IRS 63 b,Candidate,3286.203561,19,IRS 63,9.885491525,5688.237937,144,1.970281929
IRS 63 c,Candidate,3286.203561,37,IRS 63,9.885491525,5688.237937,144,1.970281929
J0337 b,Candidate,142356,60,J0337,11.29,7800,303,2.392683513
J0337 c,Candidate,262497,90,J0337,11.29,7800,303,2.392683513
J0337 d,Candidate,3286.203561,120,J0337,11.29,7800,303,2.392683513
K00005.01,Candidate,4.780327766,0.0577,2MASS J19185753+4438507,9.885491525,5753,302.4853135,8.693846668
K00005.02,Candidate,7.05185637,16.13423714,2MASS J19185753+4438507,9.885491525,5753,302.4853135,8.693846668
K00521.02,Candidate,10.8204488,0.0958,Kepler-1989 A,14.29,5953,1252.13,2.578094557
K00732.02,Candidate,3.29534933,0.044,2MASS J19131869+4722537,9.885491525,5546,302.4853135,8.693846668
K00732.03,Candidate,5.25448795,0.06,2MASS J19131869+4722537,9.885491525,5546,302.4853135,8.693846668
K00841.03,Candidate,6.54626058,0.0681,2MASS J19285682+4105091,9.885491525,5325,302.4853135,8.693846668
K00841.04,Candidate,269.294246,0.8116,2MASS J19285682+4105091,9.885491525,5325,302.4853135,8.693846668
K01082.01,Candidate,6.50323791,0.0654,2MASS J19283467+4709264,9.885491525,5258,302.4853135,8.693846668
K01082.02,Candidate,4.09666758,0.048,2MASS J19283467+4709264,9.885491525,5258,302.4853135,8.693846668
K01082.04,Candidate,9.6550435,0.0851,2MASS J19283467+4709264,9.885491525,5258,302.4853135,8.693846668
K01239.01,Candidate,0.783276166,0.0173,2MASS J19284286+4200212,9.885491525,6108,302.4853135,8.693846668
K01239.02,Candidate,3.17405968,0.0441,2MASS J19284286+4200212,9.885491525,6108,302.4853135,8.693846668
K01271.01,Candidate,162.0540766,0.6201,2MASS J19370371+4447394,9.885491525,6628,302.4853135,8.693846668
K01271.02,Candidate,3286.203561,16.13423714,2MASS J19370371+4447394,9.885491525,6628,302.4853135,8.693846668
K01445.02,Candidate,54.325574,0.2997,2MASS J18554483+4906371,9.885491525,6343,302.4853135,8.693846668
K01445.03,Candidate,20.01959599,16.13423714,2MASS J18554483+4906371,9.885491525,6343,302.4853135,8.693846668
K01499.02,Candidate,0.840591182,0.0161,2MASS J19505382+4331387,9.885491525,5440,302.4853135,8.693846668
K01499.03,Candidate,6.20925415,0.061,2MASS J19505382+4331387,9.885491525,5440,302.4853135,8.693846668
K01590.01,Candidate,12.89010472,0.0973,Kepler-1756,9.885491525,4915,756.88,54.43239566
K01590.03,Candidate,4.74664825,0.05,Kepler-1756,9.885491525,4915,756.88,54.43239566
K01681.01,Candidate,6.93911381,0.0532,Kepler-1984 A,16.19,3638,203.05,0.011781646
K01681.03,Candidate,3.53106745,0.0339,Kepler-1984 A,16.19,3638,203.05,0.011781646
K01681.04,Candidate,21.9140546,0.1092,Kepler-1984 A,16.19,3638,203.05,0.011781646
K01860.03,Candidate,3.076452083,0.0414,2MASS J19261367+3913382,9.885491525,5977,302.4853135,8.693846668
K01860.04,Candidate,24.8435099,0.1667,2MASS J19261367+3913382,9.885491525,5977,302.4853135,8.693846668
K01884.01,Candidate,23.11844759,0.1437,2MASS J19433657+3955060,9.885491525,5275,302.4853135,8.693846668
K01884.02,Candidate,4.77502001,0.0502,2MASS J19433657+3955060,9.885491525,5275,302.4853135,8.693846668
K02037.02,Candidate,5.47715929,0.0576,Kepler-1995,15.51,4693,595.331,0.189459765
K02037.03,Candidate,8.56266484,0.0776,Kepler-1995,15.51,4693,595.331,0.189459765
K02093.01,Candidate,6.78341538,0.0732,2MASS J19314900+4156052,9.885491525,6487,302.4853135,8.693846668
K02093.02,Candidate,2.5081152,0.0377,2MASS J19314900+4156052,9.885491525,6487,302.4853135,8.693846668
K02093.03,Candidate,0.992140132,0.0203,2MASS J19314900+4156052,9.885491525,6487,302.4853135,8.693846668
K02220.04,Candidate,7.66464553,0.0733,2MASS J19363310+4222138,9.885491525,5975,302.4853135,8.693846668
K02220.05,Candidate,11.9294568,0.0984,2MASS J19363310+4222138,9.885491525,5975,302.4853135,8.693846668
K02248.02,Candidate,9.4907638,0.082,Kepler-1813 A,15.682,5167,809.32,0.298841251
K02248.04,Candidate,2.64622695,0.035,Kepler-1813 A,15.682,5167,809.32,0.298841251
