planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,referenced_planet,harmonic_ratio,luminosity
HD 20781 c,Confirmed,13.8905,0.1,HD 20781,8.44,5448.139313,35.4,,,0.035974934
HD 20781 d,Confirmed,29.158,0.1647,HD 20781,8.44,5448.139313,35.4,,,0.035974934
HD 20781 e,Confirmed,85.5073,0.3374,HD 20781,8.44,5448.139313,35.4,,,0.035974934
HD 213885 Ab,Confirmed,1.008035,0.02012,HD 213885 A,8,5978,57.97,,,0.053951062
HD 213885 Ac,Confirmed,4.78503,0.056798,HD 213885 A,8,5978,57.97,,,0.053951062
HD 215152 b,Confirmed,5.75942,0.057635,HD 215152,6.45,4935,21.5,,,0.224905461
HD 215152 c,Confirmed,7.28345,0.067399,HD 215152,6.45,4935,21.5,,,0.224905461
HD 215152 d,Confirmed,10.8642,0.08799,HD 215152,6.45,4935,21.5,,,0.224905461
HD 215152 e,Confirmed,25.1968,0.15417,HD 215152,6.45,4935,21.5,,,0.224905461
HD 216520 b,Confirmed,35.45,0.198,HD 216520,11.2837463,5103,19.56,,,0.002621208
HD 216520 c,Confirmed,154.43,0.528,HD 216520,11.2837463,5103,19.56,,,0.002621208
HD 21693 b,Confirmed,22.656,0.1484,HD 21693,7.94,5448.139313,32.4,,,0.057016427
HD 21693 c,Confirmed,53.881,0.2644,HD 21693,7.94,5448.139313,32.4,,,0.057016427
HD 219134 b,Confirmed,3.093292,0.037,HD 219134,5.57,4699,6.55,,,0.505824662
HD 219134 c,Confirmed,6.765159,0.062,HD 219134,5.57,4699,6.55,,,0.505824662
HD 219134 d,Confirmed,46.71,0.225,HD 219134,5.57,4699,6.55,,,0.505824662
HD 219134 e,Confirmed,1842,2.56,HD 219134,5.57,4699,6.55,,,0.505824662
HD 219134 f,Confirmed,22.805,0.139,HD 219134,5.57,4699,6.55,,,0.505824662
HD 219134 g,Confirmed,94.2,0.3753,HD 219134,5.57,4699,6.55,,,0.505824662
HD 219134 h,Confirmed,2198,3.064,HD 219134,5.57,4699,6.55,,,0.505824662
HD 22946 b,Confirmed,4.040295,0.05727,HD 22946,8.3,6210,62.87,,,0.040926066
HD 22946 c,Confirmed,9.573083,0.1017,HD 22946,8.3,6210,62.87,,,0.040926066
HD 22946 d,Confirmed,47.42489,0.2958,HD 22946,8.3,6210,62.87,,,0.040926066
HD 23472 Ab,Confirmed,17.667087,0.1162,HD 23472 A,9.7,5448.139313,39.1,,,0.011271975
HD 23472 Ac,Confirmed,29.79749,0.1646,HD 23472 A,9.7,5448.139313,39.1,,,0.011271975
HD 23472 Ad,Confirmed,3.97664,0.04298,HD 23472 A,9.7,5448.139313,39.1,,,0.011271975
HD 23472 Ae,Confirmed,7.90754,0.068,HD 23472 A,9.7,5448.139313,39.1,,,0.011271975
HD 23472 Af,Confirmed,12.1621839,126.8867207,HD 23472 A,9.7,5448.139313,39.1,,,0.011271975
HD 260655 b,Confirmed,2.76953,0.02933,HD 260655,9.8,3803,9.9976,,,0.010280163
HD 260655 c,Confirmed,5.70588,0.04749,HD 260655,9.8,3803,9.9976,,,0.010280163
HD 27894 b,Confirmed,18.02,0.125,HD 27894,9.36,4875,42.37,,,0.015417005
HD 27894 c,Confirmed,36.07,0.198,HD 27894,9.36,4875,42.37,,,0.015417005
HD 27894 d,Confirmed,5019.5,5.362,HD 27894,9.36,4875,42.37,,,0.015417005
HD 28109 b,Confirmed,22.89104,0.1357,HD 28109,9.4,6120,140.087,,,0.014859356
HD 28109 c,Confirmed,56.00819,0.308,HD 28109,9.4,6120,140.087,,,0.014859356
HD 28109 d,Confirmed,84.26,0.411,HD 28109,9.4,6120,140.087,,,0.014859356
HD 31527 b,Confirmed,16.557,0.1253,HD 31527,7.48,5448.139313,38.6,,,0.087096359
HD 31527 c,Confirmed,51.2,0.2665,HD 31527,7.48,5448.139313,38.6,,,0.087096359
HD 31527 d,Confirmed,274.2,0.8181,HD 31527,7.48,5448.139313,38.6,,,0.087096359
HD 3167 b,Confirmed,0.959624,0.0186,HD 3167,8.94,5528,47.36,,,0.022698649
HD 3167 c,Confirmed,29.83832,0.1841,HD 3167,8.94,5528,47.36,,,0.022698649
HD 3167 d,Confirmed,8.4112,0.0763,HD 3167,8.94,5528,47.36,,,0.022698649
