planet_name,semi_major_axis,star_distance,star_temperature,mag_v,absolute_magnitude,luminosity
CoRoT-7 Ad,0.08,150.0,5313.0,11.7,5.8195437047215925,0.40195970434171185
CoRoT-8 b,0.063,380.0,5080.0,14.8,6.90108201691595,0.14844555344946264
CoRoT-9 Ab,0.407,460.0,5625.0,13.7,5.3862108415921295,0.5991225463111487
CPD-56 5307 b,1368.0,101.292154,4731.81,10.89,5.862120967002722,0.38650188219767856
CP Eri b,0.001246,804.0,17000.0,17.8,8.273719756257744,0.041928767599651785
CR Boo b,0.001236,337.0,20000.0,15.0,7.361850495643306,0.09710907151560065
del Vir b,1.33,60.81,3657.0,3.4,-0.5198750170633559,138.0225372830868
DMPP-4 b,0.04853,25.43,6400.0,5.7,3.6732681991214564,2.901968676143684
DoAr 21 (AB)b,1.55,134.6,5080.0,14.0,8.35477470056021,0.03891258835269874
DoAr 21 (AB)c,2.8,134.6,5080.0,14.0,8.35477470056021,0.03891258835269874
DS Tuc Ab,0.0795,44.12,5597.0,9.0,5.776822481159234,0.4180911816482362
EF Eri b,0.0028,111.0,10000.0,14.53,9.303385106066711,0.016242241275753508
EG Cnc b,0.00268,320.0,15000.0,18.0,10.47425010840047,0.005524588774554906
Elias 2-24 b,58.0,139.0,4483.0,14.4,8.684925998729526,0.028709762544627225
EPIC 205084841 b,0.104,843.771,5091.0,16.46,6.828877025941624,0.1586533291288156
EPIC 212036875 b,0.0645,306.57,6283.43,10.95,3.5173517306423534,3.3501118553857476
EPIC 219388192 Ab,0.0593,300.0,5850.0,12.5,5.114393726401687,0.7695600415962156
eps CrB Ab,1.3,67.9,4406.0,4.14,-0.019348871402509182,87.04414195787052
eps Eridani b,3.53,3.2,5116.0,3.73,6.204250108400469,0.2820330192218285
eps Ind Ab,11.08,3.63857,4611.0,4.69,6.885346327814196,0.15061265657483827
eps Ind Bb,2.4057,3.63857,1368.0,24.1,26.295346327814197,2.5933520035137364e-09
eps Ret Ab,1.16,18.1,4749.0,4.44,3.1516071256540776,4.691990776810056
eps Tau b,1.9,45.0,4901.0,3.53,0.2639374311232814,67.05405210022471
eta2 Hyi b,1.89,66.5,4975.0,4.7,0.5858917734844775,49.8474895057215
eta Cet b,1.27,38.0,4528.0,3.45,0.5510820169159496,51.47154366674966
eta Cet c,1.93,38.0,4528.0,3.45,0.5510820169159496,51.47154366674966
eta CrB (AB)b,3600.0,18.62197,6028.7,4.98,3.6298718866785054,3.0203080858534865
eta Tel b,218.0,49.54,9760.0,5.0,1.5252199887509086,20.985146455354606
ET Cha b,13.0,91.7,3190.0,13.97,9.158153321649895,0.018566868919435296
FN Lyr b,1.88,3026.25,6745.0,12.73,0.32547598775105513,63.359188309685514
FS Aur (AB)b,1.68,567.8,10000.0,16.08,7.309023059050807,0.10195083248408807
G 123-45 b,0.126519,25.70666,3153.0,13.73,11.6797717322657,0.0018200834770199324
G 124-62 Ba,1500.0,35.74,3462.0,12.43,9.664227259151872,0.011649548568252578
G 124-62 Bb,12.7,35.74,3462.0,12.43,9.664227259151872,0.011649548568252578
G 178-27 b,0.4046,223.409,6446.0,11.18,4.434496676880778,1.4394657278526821
G 190-10 b,0.186,142.886732,5062.8,11.27,5.495040482591968,0.541980681817121
G 194-47 (AB)b,5700.0,32.81428,3271.0,13.34,10.75968560223679,0.0042474253927971975
G 203-50 b,135.0,21.2084,3112.0,15.82,14.187460471038492,0.00018072399219349887
G 264-012 b,0.02279,15.986,3326.0,12.0,10.981300956830708,0.003463216303222568
G 264-012 c,0.0525,15.986,3326.0,12.0,10.981300956830708,0.003463216303222568
G 65-52 b,0.519,144.754738,5681.68,12.2,6.396836061885892,0.23619221297180412
G 9-40 b,0.0418,27.93,3348.0,13.8,11.569645321494974,0.00201438218258517
Gaia-1 b,0.04047,368.3,5370.0,13.2,5.368991405725435,0.6087001905548685
Gaia-2 b,0.0467,207.2,5720.0,11.3,4.718051244634024,1.1086118134269387
gamma1 Leo b,1.19,38.5,4330.0,2.01,-0.9173036475425036,199.03133636466004
gamma Cephei Ab,2.1459,13.79,4800.0,3.22,2.5221786691207515,8.377771911934653
gamma Lib b,1.2397,50.2,4822.0,3.0,-0.5035185857250966,135.9588349163022
gamma Lib c,2.1761,50.2,4822.0,3.0,-0.5035185857250966,135.9588349163022
GD 165 b,123.0,33.3753,12130.0,14.32,11.702874109371447,0.0017817647235108443
GD 552 b,0.00288,105.0,10900.0,16.5,11.394053504650309,0.002367983097728915
GJ 1001 B,180.0,12.3067,3281.0,12.84,12.389291930275666,0.0009468544571725891
GJ 1018 b,0.0559,22.075,3433.0,12.7,10.980496438751967,0.003465783457792823
GJ 1046 b,0.457,15.1907,3461.0,11.6,10.692111065138734,0.004520178382212065
GJ 1048 b,250.0,21.2059,4877.6,8.34,6.707716454564333,0.177383581014459
GJ 1061 b,0.021,3.6732,2953.0,13.0,15.174777121775202,7.279292173684419e-05
GJ 1061 c,0.035,3.6732,2953.0,13.0,15.174777121775202,7.279292173684419e-05
GJ 1061 d,0.052,3.6732,2953.0,13.0,15.174777121775202,7.279292173684419e-05
GJ 1132 b,0.0154,12.04,3270.0,13.5,13.096867565390973,0.0004934611583216053
GJ 1132 c,0.0476,12.04,3270.0,13.5,13.096867565390973,0.0004934611583216053
GJ 1214 b,0.01411,13.0,3026.0,14.71,14.140283238465816,0.0001887498888749148
GJ 1245 Ab,1.93,4.69134,2865.0,13.126,14.769515454350799,0.00010572892541976914
GJ 1252 b,0.00916,20.38,3458.0,12.0,10.453979101647963,0.005628703333592929
GJ 1265 b,0.026,10.255,3236.0,13.7,13.645321676478073,0.00029776341002304204
