planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,referenced_planet,harmonic_ratio,luminosity,habitable_zone_status,HZ_distance_recent_venus,HZ_distance_runaway_greenhouse,HZ_distance_maximum_greenhouse,HZ_distance_early_mars,stellar_flux_recent_venus,stellar_flux_runaway_greenhouse,stellar_flux_maximum_greenhouse,stellar_flux_early_mars
2MASS J19504847+4649239 c,Aschwaden Prediction,31.081809,0.19414846,2MASS J19504847+4649239,11.57451405,5896.0,24949.97293,K03462.01,5 to 2,0.002005369,Not in HZ,0.03346089742311251,0.04226441518196627,0.0743085148276532,0.07837697447305272,1.7910970885902697,1.1226504872415715,0.36317599449544763,0.32645047710975766
2MASS J19504847+4649239 b,Aschwaden Prediction,37.2981708,0.219240835,2MASS J19504847+4649239,11.57451405,5896.0,24949.97293,K03462.01,3 to 1,0.002005369,Not in HZ,0.03346089742311251,0.04226441518196627,0.0743085148276532,0.07837697447305272,1.7910970885902697,1.1226504872415715,0.36317599449544763,0.32645047710975766
2MASS J19505382+4331387 b,Aschwaden Prediction,1.681182364,0.025557157,2MASS J19505382+4331387,11.57451405,5440.0,24949.97293,K01499.02,2 to 1,0.002005369,Not in HZ,0.034378234940276156,0.0434169340032979,0.07733206174988563,0.08156597821346535,1.6967862909540805,1.06383921298384,0.33533209251880003,0.30142286891630404
2MASS J19505382+4331387 c,Aschwaden Prediction,1.260886773,0.021096968,2MASS J19505382+4331387,11.57451405,5440.0,24949.97293,K01499.02,3 to 2,0.002005369,Not in HZ,0.034378234940276156,0.0434169340032979,0.07733206174988563,0.08156597821346535,1.6967862909540805,1.06383921298384,0.33533209251880003,0.30142286891630404
2MASS J19505382+4331387 b,Aschwaden Prediction,1.400985303,0.02263211,2MASS J19505382+4331387,11.57451405,5440.0,24949.97293,K01499.02,5 to 3,0.002005369,Not in HZ,0.034378234940276156,0.0434169340032979,0.07733206174988563,0.08156597821346535,1.6967862909540805,1.06383921298384,0.33533209251880003,0.30142286891630404
2MASS J19505382+4331387 c,Aschwaden Prediction,1.050738978,0.018682395,2MASS J19505382+4331387,11.57451405,5440.0,24949.97293,K01499.02,5 to 4,0.002005369,Not in HZ,0.034378234940276156,0.0434169340032979,0.07733206174988563,0.08156597821346535,1.6967862909540805,1.06383921298384,0.33533209251880003,0.30142286891630404
2MASS J19505382+4331387 b,Aschwaden Prediction,1.120788243,0.019503761,2MASS J19505382+4331387,11.57451405,5440.0,24949.97293,K01499.02,4 to 3,0.002005369,Not in HZ,0.034378234940276156,0.0434169340032979,0.07733206174988563,0.08156597821346535,1.6967862909540805,1.06383921298384,0.33533209251880003,0.30142286891630404
2MASS J19505382+4331387 c,Aschwaden Prediction,2.101477955,0.029656454,2MASS J19505382+4331387,11.57451405,5440.0,24949.97293,K01499.02,5 to 2,0.002005369,Not in HZ,0.034378234940276156,0.0434169340032979,0.07733206174988563,0.08156597821346535,1.6967862909540805,1.06383921298384,0.33533209251880003,0.30142286891630404
2MASS J19505382+4331387 b,Aschwaden Prediction,2.521773546,0.03348935,2MASS J19505382+4331387,11.57451405,5440.0,24949.97293,K01499.02,3 to 1,0.002005369,Not in HZ,0.034378234940276156,0.0434169340032979,0.07733206174988563,0.08156597821346535,1.6967862909540805,1.06383921298384,0.33533209251880003,0.30142286891630404
2MASS J19514768+4515181 b,Aschwaden Prediction,8.5851548,0.083656035,2MASS J19514768+4515181,11.57451405,6032.0,24949.97293,K04782.01,2 to 1,0.002005369,Not in HZ,0.033183112748381864,0.04191531101519375,0.07346094635817604,0.07748294963167278,1.8212101068018645,1.141429022953807,0.371604752373822,0.3340273336439662
