planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity,referenced_planet,harmonic_ratio,habitable_zone_status,HZ_distance_recent_venus,HZ_distance_runaway_greenhouse,HZ_distance_maximum_greenhouse,HZ_distance_early_mars,predicted_habitable_zone_status_Random Forest,predicted_habitable_zone_status_Decision Tree,predicted_habitable_zone_status_K-Neighbors,predicted_habitable_zone_status_SVM,HZ_distance_HZ_distance_recent_venus_Random Forest_prediction,HZ_distance_HZ_distance_recent_venus_Decision Tree_prediction,HZ_distance_HZ_distance_recent_venus_K-Neighbors_prediction,HZ_distance_HZ_distance_recent_venus_SVM_prediction,HZ_distance_HZ_distance_recent_venus_Linear Regression_prediction,HZ_distance_HZ_distance_recent_venus_Polynomial Regression_prediction,HZ_distance_HZ_distance_runaway_greenhouse_Random Forest_prediction,HZ_distance_HZ_distance_runaway_greenhouse_Decision Tree_prediction,HZ_distance_HZ_distance_runaway_greenhouse_K-Neighbors_prediction,HZ_distance_HZ_distance_runaway_greenhouse_SVM_prediction,HZ_distance_HZ_distance_runaway_greenhouse_Linear Regression_prediction,HZ_distance_HZ_distance_runaway_greenhouse_Polynomial Regression_prediction,HZ_distance_HZ_distance_maximum_greenhouse_Random Forest_prediction,HZ_distance_HZ_distance_maximum_greenhouse_Decision Tree_prediction,HZ_distance_HZ_distance_maximum_greenhouse_K-Neighbors_prediction,HZ_distance_HZ_distance_maximum_greenhouse_SVM_prediction,HZ_distance_HZ_distance_maximum_greenhouse_Linear Regression_prediction,HZ_distance_HZ_distance_maximum_greenhouse_Polynomial Regression_prediction,HZ_distance_HZ_distance_early_mars_Random Forest_prediction,HZ_distance_HZ_distance_early_mars_Decision Tree_prediction,HZ_distance_HZ_distance_early_mars_K-Neighbors_prediction,HZ_distance_HZ_distance_early_mars_SVM_prediction,HZ_distance_HZ_distance_early_mars_Linear Regression_prediction,HZ_distance_HZ_distance_early_mars_Polynomial Regression_prediction
EPIC 211939692.04,Candidate,293.0,16.13423714,EPIC 211939692,12.0,6417.0,302.4853135,1.239962601,,,Not in HZ,4.785463648234639,3.788077409299501,2.177364148871972,2.064349480332634,Not in HZ,Not in HZ,Not in HZ,Not in HZ,4.693732028521193,4.684111799532993,4.849845265474995,4.354844588611143,4.361057420643979,4.622389813823988,3.71662254042342,3.708097695040786,3.8390850693014493,3.4307872797547034,3.4530957313345874,3.6593897813499243,2.141529824871715,2.12141256368321,2.2051816810363776,1.9441928460432654,1.9327004126124523,2.1064811645487,2.0266652734689536,2.0112950890215218,2.09072200681975,1.8396891943526494,1.8323903858317223,1.9971126661514114
eps Crv b,Candidate,31.50675256,0.305,eps Crv,2.98,4314.0,302.4853135,5028.154184,,,Conservative HZ,2.13873534044788,1.6939797950897704,0.9079968675577512,0.8608886215915668,Optimistic HZ,Conservative HZ,Conservative HZ,Not in HZ,2.2245596571887836,2.1865869090148657,4.255603500833076,4.2486833154569075,3.196581327130634,3.1458171225508895,1.7542017007925483,1.7316811053042558,3.369780047991127,3.345538340103361,2.5303459465267686,2.489980339382393,0.9594922476053185,0.9499064456777501,1.884265044973494,1.7766898676152283,1.5061489578497578,1.5456342752242507,0.9128654265126115,0.9006082082294236,1.7864589617946094,1.6846142720381896,1.427900004207504,1.4652276973603464
eps Crv c,Candidate,2.29170595,0.053,eps Crv,2.98,4314.0,302.4853135,5028.154184,,,Not in HZ,2.13873534044788,1.6939797950897704,0.9079968675577512,0.8608886215915668,Not in HZ,Not in HZ,Conservative HZ,Not in HZ,2.2245596571887836,2.1865869090148657,4.255603500833076,4.2516356541909515,3.196593893041644,3.1496143831760586,1.7542017007925483,1.7316811053042558,3.369780047991127,3.3480068566452026,2.53035587119081,2.4929856653819322,0.9594922476053185,0.9499064456777501,1.884265044973494,1.7781923135585855,1.5061576877448548,1.5484168146888329,0.9128654265126115,0.9006082082294236,1.7864589617946094,1.686064352706889,1.4279082781152788,1.467864296315398
EX Dra AB b,Candidate,3286.203561,9.83,EX Dra AB,9.885491525,5688.237937,302.4853135,8.693846668,,,Not in HZ,4.155264934775836,3.289952724194379,1.861027044326932,1.7644229502648114,Not in HZ,Not in HZ,Not in HZ,Not in HZ,4.155354498296917,4.155030256579352,3.751169526645165,3.9978137067174027,4.028885114648052,4.171164761545974,3.2902081025831347,3.2897805429175686,2.969995980510933,3.1465199720545853,3.1901121967255355,3.3025232220773795,1.867439538295384,1.86023460480076,1.680528948365661,1.7473811468933529,1.7841202508114458,1.8694301896113426,1.7682347729064138,1.763671689551884,1.5932944646359957,1.653087595941634,1.6915210667983955,1.7723886207659718
EX Dra AB c,Candidate,3286.203561,3.18,EX Dra AB,9.885491525,5688.237937,302.4853135,8.693846668,,,Not in HZ,4.155264934775836,3.289952724194379,1.861027044326932,1.7644229502648114,Not in HZ,Not in HZ,Not in HZ,Not in HZ,4.155354498296917,4.155030256579352,3.751169526645165,3.99757119934238,4.029054902891195,4.170878988683857,3.2902081025831347,3.2897805429175686,2.969995980510933,3.1462789246364355,3.190246351428545,3.3022974866553856,1.867439538295384,1.86023460480076,1.680528948365661,1.7472462964219675,1.7842385448488747,1.8692628887638603,1.7682347729064138,1.763671689551884,1.5932944646359957,1.6529614080252981,1.6916331742933304,1.7722300331982672
Exocomet beta Pic 1,Candidate,3286.203561,16.13423714,beta Pic,3.86,8052.0,19.3,9.101534466,,,Not in HZ,2.876314377561869,2.2762418371258426,1.321699828979358,1.2531667161520263,Not in HZ,Not in HZ,Not in HZ,Not in HZ,2.8570952114716652,2.876314377561869,3.8844694377263407,4.161962672476484,2.772156798787608,3.4117469947779373,2.273349235612062,2.2762418371258426,3.074162558789511,3.247023169068428,2.194181390608717,2.69915554803853,1.31491874766027,1.321699828979358,1.7842614820862401,1.8911738438920636,1.3056701433424582,1.668136253251606,1.2531667161520241,1.2531667161520263,1.6917027958873008,1.7836554525695467,1.2378497013432344,1.5815112806974145
Exocomet beta Pic 2,Candidate,3286.203561,5.5,beta Pic,3.86,8052.0,19.3,9.101534466,,,Not in HZ,2.876314377561869,2.2762418371258426,1.321699828979358,1.2531667161520263,Not in HZ,Not in HZ,Not in HZ,Not in HZ,2.8570952114716652,2.876314377561869,3.8844694377263407,4.1615778444894715,2.772428312838911,3.41081655563916,2.273349235612062,2.2762418371258426,3.074162558789511,3.24664067575536,2.1943959218756715,2.6984199194859335,1.31491874766027,1.321699828979358,1.7842614820862401,1.8909596325744402,1.3058593112892651,1.667534929899705,1.2531667161520241,1.2531667161520263,1.6917027958873008,1.7834550091946606,1.238028976183281,1.5809413638124186
Exocomet KIC 3542116 1,Candidate,3286.203561,1.0,KIC 3542116,9.885491525,6925.0,227.7,4.926397499,,,Conservative HZ,4.466933077194704,3.53547591947917,2.045161232590439,1.9390282759339077,Conservative HZ,Conservative HZ,Not in HZ,Not in HZ,4.274326299543116,4.301007640418529,3.659793378060747,4.09079877887267,3.9425251237597916,4.378430872400082,3.387479506196637,3.3691624188528047,2.8968157568856965,3.2046207263009325,3.121470720322278,3.465727881795753,1.945607109911682,1.954830972553707,1.6705161759325016,1.8271850578105684,1.7688064284097615,2.037433507866067,1.8470086140549018,1.8392022614430896,1.5838205113526551,1.725710992136078,1.6769876469953569,1.9316292388725365
Exocomet KIC 3542116 2,Candidate,3286.203561,1.0,KIC 3542116,9.885491525,6925.0,227.7,4.926397499,,,Conservative HZ,4.466933077194704,3.53547591947917,2.045161232590439,1.9390282759339077,Conservative HZ,Conservative HZ,Not in HZ,Not in HZ,4.274326299543116,4.301007640418529,3.659793378060747,4.09079877887267,3.9425251237597916,4.378430872400082,3.387479506196637,3.3691624188528047,2.8968157568856965,3.2046207263009325,3.121470720322278,3.465727881795753,1.945607109911682,1.954830972553707,1.6705161759325016,1.8271850578105684,1.7688064284097615,2.037433507866067,1.8470086140549018,1.8392022614430896,1.5838205113526551,1.725710992136078,1.6769876469953569,1.9316292388725365
Exocomet KIC 3542116 3,Candidate,3286.203561,1.0,KIC 3542116,9.885491525,6925.0,227.7,4.926397499,,,Conservative HZ,4.466933077194704,3.53547591947917,2.045161232590439,1.9390282759339077,Conservative HZ,Conservative HZ,Not in HZ,Not in HZ,4.274326299543116,4.301007640418529,3.659793378060747,4.09079877887267,3.9425251237597916,4.378430872400082,3.387479506196637,3.3691624188528047,2.8968157568856965,3.2046207263009325,3.121470720322278,3.465727881795753,1.945607109911682,1.954830972553707,1.6705161759325016,1.8271850578105684,1.7688064284097615,2.037433507866067,1.8470086140549018,1.8392022614430896,1.5838205113526551,1.725710992136078,1.6769876469953569,1.9316292388725365
