planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity,harmonic_ratio,habitable_zone_status
HD 104067 o,Aschwaden Prediction,17.374,6.708105405,HD 104067,7.93,4969,20.8,,5 banding 4,Not in HZ
HD 104067 p,Aschwaden Prediction,18.53226667,7.003025276,HD 104067,7.93,4969,20.8,,4 banding 3,Not in HZ
HD 104067 q,Aschwaden Prediction,34.748,10.64845358,HD 104067,7.93,4969,20.8,,5 banding 2,Not in HZ
HD 104067 r,Aschwaden Prediction,41.6976,12.02469416,HD 104067,7.93,4969,20.8,,3 banding 1,Not in HZ
HD 105618 d,Aschwaden Prediction,20,7.368062997,HD 105618,8.64,5671,70.0837,,2 banding 1,Not in HZ
HD 105618 e,Aschwaden Prediction,15,6.082201996,HD 105618,8.64,5671,70.0837,,3 banding 2,Not in HZ
HD 105618 f,Aschwaden Prediction,16.66666667,6.524779402,HD 105618,8.64,5671,70.0837,,5 banding 3,Not in HZ
HD 105618 g,Aschwaden Prediction,12.5,5.386086725,HD 105618,8.64,5671,70.0837,,5 banding 4,Not in HZ
HD 105618 h,Aschwaden Prediction,13.33333333,5.622884435,HD 105618,8.64,5671,70.0837,,4 banding 3,Not in HZ
HD 105618 i,Aschwaden Prediction,25,8.549879733,HD 105618,8.64,5671,70.0837,,5 banding 2,Not in HZ
HD 105618 j,Aschwaden Prediction,30,9.654893846,HD 105618,8.64,5671,70.0837,,3 banding 1,Not in HZ
HD 106315 d,Aschwaden Prediction,19.10474,7.14651135,HD 106315,9,6327,109,,2 banding 1,Not in HZ
HD 106315 e,Aschwaden Prediction,14.328555,5.89931514,HD 106315,9,6327,109,,3 banding 2,Not in HZ
HD 106315 f,Aschwaden Prediction,15.92061667,6.328584605,HD 106315,9,6327,109,,5 banding 3,Not in HZ
HD 106315 g,Aschwaden Prediction,11.9404625,5.224131488,HD 106315,9,6327,109,,5 banding 4,Not in HZ
HD 106315 h,Aschwaden Prediction,12.73649333,5.453808884,HD 106315,9,6327,109,,4 banding 3,Not in HZ
HD 106315 i,Aschwaden Prediction,23.880925,8.29279182,HD 106315,9,6327,109,,5 banding 2,Not in HZ
HD 106315 j,Aschwaden Prediction,28.65711,9.364579059,HD 106315,9,6327,109,,3 banding 1,Not in HZ
HD 107148 A d,Aschwaden Prediction,36.6534,11.03425063,HD 107148 A,8.01,5797,51.3,,2 banding 1,Not in HZ
HD 107148 A e,Aschwaden Prediction,27.49005,9.108573207,HD 107148 A,8.01,5797,51.3,,3 banding 2,Not in HZ
HD 107148 A f,Aschwaden Prediction,30.5445,9.771367489,HD 107148 A,8.01,5797,51.3,,5 banding 3,Not in HZ
HD 107148 A g,Aschwaden Prediction,22.908375,8.066086143,HD 107148 A,8.01,5797,51.3,,5 banding 4,Not in HZ
HD 107148 A h,Aschwaden Prediction,24.4356,8.420709235,HD 107148 A,8.01,5797,51.3,,4 banding 3,Not in HZ
HD 107148 A i,Aschwaden Prediction,45.81675,12.80411363,HD 107148 A,8.01,5797,51.3,,5 banding 2,Not in HZ
HD 107148 A j,Aschwaden Prediction,54.9801,14.45895869,HD 107148 A,8.01,5797,51.3,,3 banding 1,Not in HZ
HD 108874 d,Aschwaden Prediction,790.8,85.51542145,HD 108874,8.76,5407,68.5,,2 banding 1,Not in HZ
HD 108874 e,Aschwaden Prediction,593.1,70.59142507,HD 108874,8.76,5407,68.5,,3 banding 2,Not in HZ
HD 108874 f,Aschwaden Prediction,659,75.7280795,HD 108874,8.76,5407,68.5,,5 banding 3,Not in HZ
HD 108874 g,Aschwaden Prediction,494.25,62.5121523,HD 108874,8.76,5407,68.5,,5 banding 4,Not in HZ
HD 108874 h,Aschwaden Prediction,527.2,65.2604806,HD 108874,8.76,5407,68.5,,4 banding 3,Not in HZ
HD 108874 i,Aschwaden Prediction,988.5,99.23185633,HD 108874,8.76,5407,68.5,,5 banding 2,Not in HZ
HD 108874 j,Aschwaden Prediction,1186.2,112.0569024,HD 108874,8.76,5407,68.5,,3 banding 1,Not in HZ
HD 109271 A d,Aschwaden Prediction,15.7086,6.272273501,HD 109271 A,8.05,5783,62,,2 banding 1,Not in HZ
HD 109271 A e,Aschwaden Prediction,11.78145,5.177647696,HD 109271 A,8.05,5783,62,,3 banding 2,Not in HZ
HD 109271 A f,Aschwaden Prediction,13.0905,5.55440432,HD 109271 A,8.05,5783,62,,5 banding 3,Not in HZ
HD 109271 A g,Aschwaden Prediction,9.817875,4.585059744,HD 109271 A,8.05,5783,62,,5 banding 4,Not in HZ
HD 109271 A h,Aschwaden Prediction,10.4724,4.78664054,HD 109271 A,8.05,5783,62,,4 banding 3,Not in HZ
HD 109271 A i,Aschwaden Prediction,19.63575,7.278328661,HD 109271 A,8.05,5783,62,,5 banding 2,Not in HZ
HD 109271 A j,Aschwaden Prediction,23.5629,8.2190034,HD 109271 A,8.05,5783,62,,3 banding 1,Not in HZ
HD 110067 h,Aschwaden Prediction,18.227356,6.925999416,HD 110067,8.4,5266,32.22,,2 banding 1,Not in HZ
HD 110067 i,Aschwaden Prediction,13.670517,5.717286549,HD 110067,8.4,5266,32.22,,3 banding 2,Not in HZ
HD 110067 j,Aschwaden Prediction,15.18946333,6.133310525,HD 110067,8.4,5266,32.22,,5 banding 3,Not in HZ
HD 110067 k,Aschwaden Prediction,11.3920975,5.062936287,HD 110067,8.4,5266,32.22,,5 banding 4,Not in HZ
HD 110067 l,Aschwaden Prediction,12.15157067,5.285526784,HD 110067,8.4,5266,32.22,,4 banding 3,Not in HZ
HD 110067 m,Aschwaden Prediction,22.784195,8.036910388,HD 110067,8.4,5266,32.22,,5 banding 2,Not in HZ
HD 110067 n,Aschwaden Prediction,27.341034,9.075626683,HD 110067,8.4,5266,32.22,,3 banding 1,Not in HZ
HD 110067 o,Aschwaden Prediction,27.347388,9.077032733,HD 110067,8.4,5266,32.22,,2 banding 1,Not in HZ
HD 110067 p,Aschwaden Prediction,20.510541,7.49292543,HD 110067,8.4,5266,32.22,,3 banding 2,Not in HZ
HD 110067 q,Aschwaden Prediction,22.78949,8.038155514,HD 110067,8.4,5266,32.22,,5 banding 3,Not in HZ
HD 110067 r,Aschwaden Prediction,17.0921175,6.635351181,HD 110067,8.4,5266,32.22,,5 banding 4,Not in HZ
HD 110067 s,Aschwaden Prediction,18.231592,6.927072433,HD 110067,8.4,5266,32.22,,4 banding 3,Not in HZ
HD 110067 t,Aschwaden Prediction,34.184235,10.53296344,HD 110067,8.4,5266,32.22,,5 banding 2,Not in HZ
HD 110067 u,Aschwaden Prediction,41.021082,11.89427771,HD 110067,8.4,5266,32.22,,3 banding 1,Not in HZ
HD 110067 v,Aschwaden Prediction,41.039234,11.8977863,HD 110067,8.4,5266,32.22,,2 banding 1,Not in HZ
HD 110067 w,Aschwaden Prediction,30.7794255,9.821406194,HD 110067,8.4,5266,32.22,,3 banding 2,Not in HZ
HD 110067 x,Aschwaden Prediction,34.19936167,10.53607047,HD 110067,8.4,5266,32.22,,5 banding 3,Not in HZ
HD 110067 y,Aschwaden Prediction,25.64952125,8.697334544,HD 110067,8.4,5266,32.22,,5 banding 4,Not in HZ
HD 110067 z,Aschwaden Prediction,27.35948933,9.079710286,HD 110067,8.4,5266,32.22,,4 banding 3,Not in HZ
HD 110067 aa,Aschwaden Prediction,51.2990425,13.806158,HD 110067,8.4,5266,32.22,,5 banding 2,Not in HZ
HD 110067 ba,Aschwaden Prediction,61.558851,15.59051052,HD 110067,8.4,5266,32.22,,3 banding 1,Not in HZ
HD 110067 ca,Aschwaden Prediction,61.586182,15.59512478,HD 110067,8.4,5266,32.22,,2 banding 1,Not in HZ
HD 110067 da,Aschwaden Prediction,46.1896365,12.87349187,HD 110067,8.4,5266,32.22,,3 banding 2,Not in HZ
HD 110067 ea,Aschwaden Prediction,51.32181833,13.81024416,HD 110067,8.4,5266,32.22,,5 banding 3,Not in HZ
HD 110067 fa,Aschwaden Prediction,38.49136375,11.40010537,HD 110067,8.4,5266,32.22,,5 banding 4,Not in HZ
HD 110067 ga,Aschwaden Prediction,41.05745467,11.90130764,HD 110067,8.4,5266,32.22,,4 banding 3,Not in HZ
HD 110067 ha,Aschwaden Prediction,76.9827275,18.09653926,HD 110067,8.4,5266,32.22,,5 banding 2,Not in HZ
HD 110067 ia,Aschwaden Prediction,92.379273,20.43539453,HD 110067,8.4,5266,32.22,,3 banding 1,Not in HZ
HD 110067 ja,Aschwaden Prediction,82.11708,18.89248119,HD 110067,8.4,5266,32.22,,2 banding 1,Not in HZ
HD 110067 ka,Aschwaden Prediction,61.58781,15.59539961,HD 110067,8.4,5266,32.22,,3 banding 2,Not in HZ
HD 110067 la,Aschwaden Prediction,68.4309,16.7302142,HD 110067,8.4,5266,32.22,,5 banding 3,Not in HZ
HD 110067 ma,Aschwaden Prediction,51.323175,13.81048753,HD 110067,8.4,5266,32.22,,5 banding 4,Not in HZ
HD 110067 na,Aschwaden Prediction,54.74472,14.41766153,HD 110067,8.4,5266,32.22,,4 banding 3,Not in HZ
HD 110067 oa,Aschwaden Prediction,102.64635,21.92278244,HD 110067,8.4,5266,32.22,,5 banding 2,Not in HZ
HD 110067 pa,Aschwaden Prediction,123.17562,24.75615375,HD 110067,8.4,5266,32.22,,3 banding 1,Not in HZ
HD 110113 d,Aschwaden Prediction,5.082,2.955900247,HD 110113,10,5732,106.3,,2 banding 1,Not in HZ
HD 110113 e,Aschwaden Prediction,3.8115,2.440041893,HD 110113,10,5732,106.3,,3 banding 2,Not in HZ
HD 110113 f,Aschwaden Prediction,4.235,2.617593939,HD 110113,10,5732,106.3,,5 banding 3,Not in HZ
HD 110113 g,Aschwaden Prediction,3.17625,2.160776189,HD 110113,10,5732,106.3,,5 banding 4,Not in HZ
HD 110113 h,Aschwaden Prediction,3.388,2.255774075,HD 110113,10,5732,106.3,,4 banding 3,Not in HZ
HD 110113 i,Aschwaden Prediction,6.3525,3.430018395,HD 110113,10,5732,106.3,,5 banding 2,Not in HZ
HD 110113 j,Aschwaden Prediction,7.623,3.873325067,HD 110113,10,5732,106.3,,3 banding 1,Not in HZ
HD 111232 d,Aschwaden Prediction,2338.2,176.1655987,HD 111232,7.61,5494,29,,2 banding 1,Not in HZ
HD 111232 e,Aschwaden Prediction,1753.65,145.4214977,HD 111232,7.61,5494,29,,3 banding 2,Not in HZ
HD 111232 f,Aschwaden Prediction,1948.5,156.0032359,HD 111232,7.61,5494,29,,5 banding 3,Not in HZ
HD 111232 g,Aschwaden Prediction,1461.375,128.7778339,HD 111232,7.61,5494,29,,5 banding 4,Not in HZ
HD 111232 h,Aschwaden Prediction,1558.8,134.4395133,HD 111232,7.61,5494,29,,4 banding 3,Not in HZ
HD 111232 i,Aschwaden Prediction,2922.75,204.422069,HD 111232,7.61,5494,29,,5 banding 2,Not in HZ
HD 111232 j,Aschwaden Prediction,3507.3,230.8422384,HD 111232,7.61,5494,29,,3 banding 1,Not in HZ
HD 113337 A d,Aschwaden Prediction,646.8,74.7905409,HD 113337 A,6,6577,36.9,,2 banding 1,Not in HZ
HD 113337 A e,Aschwaden Prediction,485.1,61.73823124,HD 113337 A,6,6577,36.9,,3 banding 2,Not in HZ
HD 113337 A f,Aschwaden Prediction,539,66.23067432,HD 113337 A,6,6577,36.9,,5 banding 3,Not in HZ
HD 113337 A g,Aschwaden Prediction,404.25,54.67221706,HD 113337 A,6,6577,36.9,,5 banding 4,Not in HZ
HD 113337 A h,Aschwaden Prediction,431.2,57.07586492,HD 113337 A,6,6577,36.9,,4 banding 3,Not in HZ
HD 113337 A i,Aschwaden Prediction,808.5,86.78673488,HD 113337 A,6,6577,36.9,,5 banding 2,Not in HZ
HD 113337 A j,Aschwaden Prediction,970.2,98.00333322,HD 113337 A,6,6577,36.9,,3 banding 1,Not in HZ
HD 113538 d,Aschwaden Prediction,1326.4,120.7210513,HD 113538,9.06,4462,15.8,,2 banding 1,Not in HZ
HD 113538 e,Aschwaden Prediction,994.8,99.65303219,HD 113538,9.06,4462,15.8,,3 banding 2,Not in HZ
HD 113538 f,Aschwaden Prediction,1105.333333,106.904383,HD 113538,9.06,4462,15.8,,5 banding 3,Not in HZ
HD 113538 g,Aschwaden Prediction,829,88.24762384,HD 113538,9.06,4462,15.8,,5 banding 4,Not in HZ
HD 113538 h,Aschwaden Prediction,884.2666667,92.12740453,HD 113538,9.06,4462,15.8,,4 banding 3,Not in HZ
HD 113538 i,Aschwaden Prediction,1658,140.0843709,HD 113538,9.06,4462,15.8,,5 banding 2,Not in HZ
HD 113538 j,Aschwaden Prediction,1989.6,158.1893281,HD 113538,9.06,4462,15.8,,3 banding 1,Not in HZ
HD 114386 d,Aschwaden Prediction,1874,152.0009811,HD 114386,8.73,4819,28,,2 banding 1,Not in HZ
HD 114386 e,Aschwaden Prediction,1405.5,125.4740453,HD 114386,8.73,4819,28,,3 banding 2,Not in HZ
HD 114386 f,Aschwaden Prediction,1561.666667,134.6042875,HD 114386,8.73,4819,28,,5 banding 3,Not in HZ
HD 114386 g,Aschwaden Prediction,1171.25,111.1133912,HD 114386,8.73,4819,28,,5 banding 4,Not in HZ
HD 114386 h,Aschwaden Prediction,1249.333333,115.9984586,HD 114386,8.73,4819,28,,4 banding 3,Not in HZ
HD 114386 i,Aschwaden Prediction,2342.5,176.3815141,HD 114386,8.73,4819,28,,5 banding 2,Not in HZ
HD 114386 j,Aschwaden Prediction,2811,199.1776315,HD 114386,8.73,4819,28,,3 banding 1,Not in HZ
HD 114783 d,Aschwaden Prediction,987.4,99.15822605,HD 114783,7.57,5105,20.4,,2 banding 1,Not in HZ
HD 114783 e,Aschwaden Prediction,740.55,81.85331214,HD 114783,7.57,5105,20.4,,3 banding 2,Not in HZ
HD 114783 f,Aschwaden Prediction,822.8333333,87.80944885,HD 114783,7.57,5105,20.4,,5 banding 3,Not in HZ
HD 114783 g,Aschwaden Prediction,617.125,72.48510296,HD 114783,7.57,5105,20.4,,5 banding 4,Not in HZ
HD 114783 h,Aschwaden Prediction,658.2666667,75.67188908,HD 114783,7.57,5105,20.4,,4 banding 3,Not in HZ
HD 114783 i,Aschwaden Prediction,1234.25,115.0629287,HD 114783,7.57,5105,20.4,,5 banding 2,Not in HZ
HD 114783 j,Aschwaden Prediction,1481.1,129.9340338,HD 114783,7.57,5105,20.4,,3 banding 1,Not in HZ
HD 11506 e,Aschwaden Prediction,446.82,58.44603711,HD 11506,7.51,6030,51.261,,2 banding 1,Not in HZ
HD 11506 f,Aschwaden Prediction,335.115,48.24614063,HD 11506,7.51,6030,51.261,,3 banding 2,Not in HZ
HD 11506 g,Aschwaden Prediction,372.35,51.75681848,HD 11506,7.51,6030,51.261,,5 banding 3,Not in HZ
HD 11506 h,Aschwaden Prediction,279.2625,42.72431231,HD 11506,7.51,6030,51.261,,5 banding 4,Not in HZ
HD 11506 i,Aschwaden Prediction,297.88,44.60267407,HD 11506,7.51,6030,51.261,,4 banding 3,Not in HZ
HD 11506 j,Aschwaden Prediction,558.525,67.82061831,HD 11506,7.51,6030,51.261,,5 banding 2,Not in HZ
HD 11506 k,Aschwaden Prediction,670.23,76.58597439,HD 11506,7.51,6030,51.261,,3 banding 1,Not in HZ
HD 11506 l,Aschwaden Prediction,3227.4,218.3912311,HD 11506,7.51,6030,51.261,,2 banding 1,Not in HZ
HD 11506 m,Aschwaden Prediction,2420.55,180.2779892,HD 11506,7.51,6030,51.261,,3 banding 2,Not in HZ
HD 11506 n,Aschwaden Prediction,2689.5,193.3960943,HD 11506,7.51,6030,51.261,,5 banding 3,Not in HZ
HD 11506 o,Aschwaden Prediction,2017.125,159.6449584,HD 11506,7.51,6030,51.261,,5 banding 4,Not in HZ
HD 11506 p,Aschwaden Prediction,2151.6,166.6637018,HD 11506,7.51,6030,51.261,,4 banding 3,Not in HZ
HD 11506 q,Aschwaden Prediction,4034.25,253.4205749,HD 11506,7.51,6030,51.261,,5 banding 2,Not in HZ
HD 11506 r,Aschwaden Prediction,4841.1,286.1734697,HD 11506,7.51,6030,51.261,,3 banding 1,Not in HZ
HD 115404 A d,Aschwaden Prediction,21,7.611662611,HD 115404 A,6.66,5019.17,10.9816,,2 banding 1,Not in HZ
HD 115404 A e,Aschwaden Prediction,15.75,6.283289046,HD 115404 A,6.66,5019.17,10.9816,,3 banding 2,Not in HZ
HD 115404 A f,Aschwaden Prediction,17.5,6.740498749,HD 115404 A,6.66,5019.17,10.9816,,5 banding 3,Not in HZ
HD 115404 A g,Aschwaden Prediction,13.125,5.564159123,HD 115404 A,6.66,5019.17,10.9816,,5 banding 4,Not in HZ
HD 115404 A h,Aschwaden Prediction,14,5.808785734,HD 115404 A,6.66,5019.17,10.9816,,4 banding 3,Not in HZ
HD 115404 A i,Aschwaden Prediction,26.25,8.832552045,HD 115404 A,6.66,5019.17,10.9816,,5 banding 2,Not in HZ
HD 115404 A j,Aschwaden Prediction,31.5,9.974099642,HD 115404 A,6.66,5019.17,10.9816,,3 banding 1,Not in HZ
HD 116029 A d,Aschwaden Prediction,1340.4,121.5690285,HD 116029 A,8.04,4951,123.2,,2 banding 1,Not in HZ
HD 116029 A e,Aschwaden Prediction,1005.3,100.353022,HD 116029 A,8.04,4951,123.2,,3 banding 2,Not in HZ
HD 116029 A f,Aschwaden Prediction,1117,107.6553082,HD 116029 A,8.04,4951,123.2,,5 banding 3,Not in HZ
HD 116029 A g,Aschwaden Prediction,837.75,88.86749894,HD 116029 A,8.04,4951,123.2,,5 banding 4,Not in HZ
HD 116029 A h,Aschwaden Prediction,893.6,92.77453225,HD 116029 A,8.04,4951,123.2,,4 banding 3,Not in HZ
HD 116029 A i,Aschwaden Prediction,1675.5,141.0683613,HD 116029 A,8.04,4951,123.2,,5 banding 2,Not in HZ
HD 116029 A j,Aschwaden Prediction,2010.6,159.3004926,HD 116029 A,8.04,4951,123.2,,3 banding 1,Not in HZ
HD 118203 d,Aschwaden Prediction,12.26998,5.319807326,HD 118203,8.05,5872,88.6,,2 banding 1,Not in HZ
HD 118203 e,Aschwaden Prediction,9.202485,4.391404192,HD 118203,8.05,5872,88.6,,3 banding 2,Not in HZ
HD 118203 f,Aschwaden Prediction,10.22498333,4.710949035,HD 118203,8.05,5872,88.6,,5 banding 3,Not in HZ
HD 118203 g,Aschwaden Prediction,7.6687375,3.888802746,HD 118203,8.05,5872,88.6,,5 banding 4,Not in HZ
HD 118203 h,Aschwaden Prediction,8.179986667,4.059772809,HD 118203,8.05,5872,88.6,,4 banding 3,Not in HZ
HD 118203 i,Aschwaden Prediction,15.337475,6.173089571,HD 118203,8.05,5872,88.6,,5 banding 2,Not in HZ
HD 118203 j,Aschwaden Prediction,18.40497,6.970919635,HD 118203,8.05,5872,88.6,,3 banding 1,Not in HZ
HD 11964 A d,Aschwaden Prediction,75.82,17.91386045,HD 11964 A,6.42,5248,33.98,,2 banding 1,Not in HZ
HD 11964 A e,Aschwaden Prediction,56.865,14.78756599,HD 11964 A,6.42,5248,33.98,,3 banding 2,Not in HZ
HD 11964 A f,Aschwaden Prediction,63.18333333,15.86359776,HD 11964 A,6.42,5248,33.98,,5 banding 3,Not in HZ
HD 11964 A g,Aschwaden Prediction,47.3875,13.09511143,HD 11964 A,6.42,5248,33.98,,5 banding 4,Not in HZ
HD 11964 A h,Aschwaden Prediction,50.54666667,13.67083413,HD 11964 A,6.42,5248,33.98,,4 banding 3,Not in HZ
HD 11964 A i,Aschwaden Prediction,94.775,20.78719366,HD 11964 A,6.42,5248,33.98,,5 banding 2,Not in HZ
HD 11964 A j,Aschwaden Prediction,113.73,23.47379781,HD 11964 A,6.42,5248,33.98,,3 banding 1,Not in HZ
HD 122562 d,Aschwaden Prediction,170,30.6878136,HD 122562,7.69,4956,53.2528,,2 banding 1,Not in HZ
HD 122562 e,Aschwaden Prediction,127.5,25.33223199,HD 122562,7.69,4956,53.2528,,3 banding 2,Not in HZ
HD 122562 f,Aschwaden Prediction,141.6666667,27.17555674,HD 122562,7.69,4956,53.2528,,5 banding 3,Not in HZ
HD 122562 g,Aschwaden Prediction,106.25,22.43292783,HD 122562,7.69,4956,53.2528,,5 banding 4,Not in HZ
HD 122562 h,Aschwaden Prediction,113.3333333,23.41918487,HD 122562,7.69,4956,53.2528,,4 banding 3,Not in HZ
HD 122562 i,Aschwaden Prediction,212.5,35.61005324,HD 122562,7.69,4956,53.2528,,5 banding 2,Not in HZ
HD 122562 j,Aschwaden Prediction,255,40.2124117,HD 122562,7.69,4956,53.2528,,3 banding 1,Not in HZ
HD 125612 A e,Aschwaden Prediction,8.3094,4.102479729,HD 125612 A,8.31,5897,52.82,,2 banding 1,Not in HZ
HD 125612 A f,Aschwaden Prediction,6.23205,3.386522401,HD 125612 A,8.31,5897,52.82,,3 banding 2,Not in HZ
HD 125612 A g,Aschwaden Prediction,6.9245,3.632946032,HD 125612 A,8.31,5897,52.82,,5 banding 3,Not in HZ
HD 125612 A h,Aschwaden Prediction,5.193375,2.998930874,HD 125612 A,8.31,5897,52.82,,5 banding 4,Not in HZ
HD 125612 A i,Aschwaden Prediction,5.5396,3.130777983,HD 125612 A,8.31,5897,52.82,,4 banding 3,Not in HZ
HD 125612 A j,Aschwaden Prediction,10.38675,4.760506025,HD 125612 A,8.31,5897,52.82,,5 banding 2,Not in HZ
HD 125612 A k,Aschwaden Prediction,12.4641,5.375769222,HD 125612 A,8.31,5897,52.82,,3 banding 1,Not in HZ
HD 125612 A l,Aschwaden Prediction,1004,100.2664892,HD 125612 A,8.31,5897,52.82,,2 banding 1,Not in HZ
HD 125612 A m,Aschwaden Prediction,753,82.76816321,HD 125612 A,8.31,5897,52.82,,3 banding 2,Not in HZ
HD 125612 A n,Aschwaden Prediction,836.6666667,88.79086996,HD 125612 A,8.31,5897,52.82,,5 banding 3,Not in HZ
HD 125612 A o,Aschwaden Prediction,627.5,73.29524825,HD 125612 A,8.31,5897,52.82,,5 banding 4,Not in HZ
HD 125612 A p,Aschwaden Prediction,669.3333333,76.51765216,HD 125612 A,8.31,5897,52.82,,4 banding 3,Not in HZ
HD 125612 A q,Aschwaden Prediction,1255,116.3489542,HD 125612 A,8.31,5897,52.82,,5 banding 2,Not in HZ
HD 125612 A r,Aschwaden Prediction,1506,131.3862694,HD 125612 A,8.31,5897,52.82,,3 banding 1,Not in HZ
HD 12661 d,Aschwaden Prediction,527.2,65.2604806,HD 12661,7.44,5742,37.16,,2 banding 1,Not in HZ
HD 12661 e,Aschwaden Prediction,395.4,53.87133979,HD 12661,7.44,5742,37.16,,3 banding 2,Not in HZ
HD 12661 f,Aschwaden Prediction,439.3333333,57.79134078,HD 12661,7.44,5742,37.16,,5 banding 3,Not in HZ
HD 12661 g,Aschwaden Prediction,329.5,47.70570072,HD 12661,7.44,5742,37.16,,5 banding 4,Not in HZ
HD 12661 h,Aschwaden Prediction,351.4666667,49.80306774,HD 12661,7.44,5742,37.16,,4 banding 3,Not in HZ
HD 12661 i,Aschwaden Prediction,659,75.7280795,HD 12661,7.44,5742,37.16,,5 banding 2,Not in HZ
HD 12661 j,Aschwaden Prediction,790.8,85.51542145,HD 12661,7.44,5742,37.16,,3 banding 1,Not in HZ
HD 127506 d,Aschwaden Prediction,131.6,25.87243232,HD 127506,8.7,4595.32,22.5279,,2 banding 1,Not in HZ
HD 127506 e,Aschwaden Prediction,98.7,21.35722232,HD 127506,8.7,4595.32,22.5279,,3 banding 2,Not in HZ
HD 127506 f,Aschwaden Prediction,109.6666667,22.91130159,HD 127506,8.7,4595.32,22.5279,,5 banding 3,Not in HZ
HD 127506 g,Aschwaden Prediction,82.25,18.91286276,HD 127506,8.7,4595.32,22.5279,,5 banding 4,Not in HZ
HD 127506 h,Aschwaden Prediction,87.73333333,19.74436118,HD 127506,8.7,4595.32,22.5279,,4 banding 3,Not in HZ
HD 127506 i,Aschwaden Prediction,164.5,30.02229824,HD 127506,8.7,4595.32,22.5279,,5 banding 2,Not in HZ
HD 127506 j,Aschwaden Prediction,197.4,33.90247717,HD 127506,8.7,4595.32,22.5279,,3 banding 1,Not in HZ
HD 128311 d,Aschwaden Prediction,897.2,93.02353588,HD 128311,7.51,4965,16.6,,2 banding 1,Not in HZ
HD 128311 e,Aschwaden Prediction,672.9,76.78923698,HD 128311,7.51,4965,16.6,,3 banding 2,Not in HZ
HD 128311 f,Aschwaden Prediction,747.6666667,82.37688128,HD 128311,7.51,4965,16.6,,5 banding 3,Not in HZ
HD 128311 g,Aschwaden Prediction,560.75,68.00061724,HD 128311,7.51,4965,16.6,,5 banding 4,Not in HZ
HD 128311 h,Aschwaden Prediction,598.1333333,70.99024428,HD 128311,7.51,4965,16.6,,4 banding 3,Not in HZ
HD 128311 i,Aschwaden Prediction,1121.5,107.9442513,HD 128311,7.51,4965,16.6,,5 banding 2,Not in HZ
HD 128311 j,Aschwaden Prediction,1345.8,121.8953156,HD 128311,7.51,4965,16.6,,3 banding 1,Not in HZ
HD 133131 A d,Aschwaden Prediction,1298,118.9916431,HD 133131 A,8.4,5799,47,,2 banding 1,Not in HZ
HD 133131 A e,Aschwaden Prediction,973.5,98.22543721,HD 133131 A,8.4,5799,47,,3 banding 2,Not in HZ
HD 133131 A f,Aschwaden Prediction,1081.666667,105.3729077,HD 133131 A,8.4,5799,47,,5 banding 3,Not in HZ
HD 133131 A g,Aschwaden Prediction,811.25,86.9834188,HD 133131 A,8.4,5799,47,,5 banding 4,Not in HZ
HD 133131 A h,Aschwaden Prediction,865.3333333,90.80761909,HD 133131 A,8.4,5799,47,,4 banding 3,Not in HZ
HD 133131 A i,Aschwaden Prediction,1622.5,138.0775705,HD 133131 A,8.4,5799,47,,5 banding 2,Not in HZ
HD 133131 A j,Aschwaden Prediction,1947,155.9231624,HD 133131 A,8.4,5799,47,,3 banding 1,Not in HZ
HD 134060 d,Aschwaden Prediction,6.54,3.49718413,HD 134060,6.29,5319.019429,24.2,,2 banding 1,Not in HZ
HD 134060 e,Aschwaden Prediction,4.905,2.886861893,HD 134060,6.29,5319.019429,24.2,,3 banding 2,Not in HZ
HD 134060 f,Aschwaden Prediction,5.45,3.096927236,HD 134060,6.29,5319.019429,24.2,,5 banding 3,Not in HZ
HD 134060 g,Aschwaden Prediction,4.0875,2.556457107,HD 134060,6.29,5319.019429,24.2,,5 banding 4,Not in HZ
HD 134060 h,Aschwaden Prediction,4.36,2.668850988,HD 134060,6.29,5319.019429,24.2,,4 banding 3,Not in HZ
HD 134060 i,Aschwaden Prediction,8.175,4.058122701,HD 134060,6.29,5319.019429,24.2,,5 banding 2,Not in HZ
HD 134060 j,Aschwaden Prediction,9.81,4.582607606,HD 134060,6.29,5319.019429,24.2,,3 banding 1,Not in HZ
HD 134606 A g,Aschwaden Prediction,8.6406,4.210780475,HD 134606 A,6.85,5624.92,26.5,,2 banding 1,Not in HZ
HD 134606 A h,Aschwaden Prediction,6.48045,3.475922698,HD 134606 A,6.85,5624.92,26.5,,3 banding 2,Not in HZ
HD 134606 A i,Aschwaden Prediction,7.2005,3.728851629,HD 134606 A,6.85,5624.92,26.5,,5 banding 3,Not in HZ
HD 134606 A j,Aschwaden Prediction,5.400375,3.0780992,HD 134606 A,6.85,5624.92,26.5,,5 banding 4,Not in HZ
HD 134606 A k,Aschwaden Prediction,5.7604,3.213426922,HD 134606 A,6.85,5624.92,26.5,,4 banding 3,Not in HZ
HD 134606 A l,Aschwaden Prediction,10.80075,4.886177909,HD 134606 A,6.85,5624.92,26.5,,5 banding 2,Not in HZ
HD 134606 A m,Aschwaden Prediction,12.9609,5.517683347,HD 134606 A,6.85,5624.92,26.5,,3 banding 1,Not in HZ
HD 134606 A n,Aschwaden Prediction,24.166,8.358657191,HD 134606 A,6.85,5624.92,26.5,,2 banding 1,Not in HZ
