planet_name,semi_major_axis,star_distance,star_temperature,mag_v
CFHT-PL-5,,143.5,,
CFHT-PL-6,,69.1,,
CFHTWIR-Oph 16,,139.4,,
CFHTWIR-Oph 58,,139.4,,
CFHTWIR-Oph 66,,139.4,,
CFHTWIR-Oph 77,,139.4,,
CFHTWIR-Oph 90,,139.4,,
CFHTWIR-Oph 98 b,200,137,2320,
Cha Ha 1,,194.5,,
Cha Ha 10,,202.6,,
Cha Ha 11,,192.77,,
Cha Ha 12,,195.18,,
Cha Ha 7,,188.2,,
Cha Ha 8 b,1.02,196.76,2967,20.1
ChaII-APEX-L,,178,,
Cha J110913-773444,,165,,
Cha J11110675-7636030,,165,,
Chang 134 b,,1090,7200,12.2
chi Sco b,1.45,116,4157,5.24
chi Vir b,2.14,90,4445,4.66
chi Vir c,0.64,90,4445,4.66
CHXR 73 Ab,200,,,
CIDA 1 b,10.3,137.5,3050,15
CI Tau c,0.17,158,,13
COCONUTS-2 b,6471,10.89,3406,11.3
COCONUTS-3 b,1891,30.88,2966,15
CoRoT-10 b,0.1055,345,5075,15.22
CoRoT-11 b,0.04351,560,6343,12.94
CoRoT-12 b,0.04016,1150,5675,15.52
CoRoT-13 b,0.051,1310,5945,15.04
CoRoT-14 b,0.027,1340,6035,16.03
CoRoT-15 b,0.045,1270,6350,15.92
CoRoT-16 b,0.0618,840,5650,15.64
CoRoT-17 b,0.0461,920,5740,15.46
CoRoT-18 b,0.0295,870,5440,14.99
CoRoT-19 b,0.0518,800,6090,14.78
CoRoT-1 b,0.0254,460,6298,13.6
CoRoT-20 b,0.0902,1230,5880,14.66
CoRoT-20 c,2.9,1230,5880,14.66
CoRoT-21 b,0.0417,1400,6200,16
CoRoT-22 b,0.092,592,5939,11.93
CoRoT-23 b,0.0477,600,5900,15.63
CoRoT-24 b,0.056,600,4950,
CoRoT-24 c,0.098,600,4950,
CoRoT-25 b,0.0578,1000,6040,15
CoRoT-26 b,0.0526,1670,5590,15.76
CoRoT-27 b,0.0476,,5900,15.54
CoRoT-28 b,0.059,560,5150,13.49
CoRoT-29 b,0.039,765,5260,15.35
CoRoT-2 Ab,0.0281,213.283,5529,12.57
CoRoT-30 b,0.0844,960,5660,15.65
CoRoT-31 b,0.0586,2190,5370,15.7
CoRoT-32 b,0.071,,5970,14
CoRoT-33 b,0.0579,,5225,14.7
CoRoT-35 b,0.0429,1140,6390,15.7
CoRoT-36 b,0.066,954,6730,13.1
CoRoT-3 Ab,0.057,768.771,6558,13.3
CoRoT-4 b,0.09,,6190,13.7
CoRoT-5 b,0.04947,400,6100,14
CoRoT-6 b,0.0855,,6090,13.9
CoRoT-7 Ab,0.0172,150,5313,11.7
CoRoT-7 Ac,0.046,150,5313,11.7
CoRoT-7 Ad,0.08,150,5313,11.7
CoRoT-8 b,0.063,380,5080,14.8
CoRoT-9 Ab,0.407,460,5625,13.7
CPD-56 5307 b,1368,101.292154,4731.81,10.89
CP Eri b,0.001246,804,17000,17.8
CR Boo b,0.001236,337,20000,15
CRTS J071126.0+440405 (AB)b,,214,,16
CRTS J1122-1110 b,0.00235,345,10400,
CT Cha b,440,165,,12.36
CW 0224+1526 A,,36,,
CW 0224+1526 B,,36,,
CWISE J0146-0508 b,129,41,1720,
CWISE J0412+0850,,31,,
CWISE J0422+2139,,54,,
CWISE J0423+1304,,38,,
CWISE J0435+2138,,51,,
CWISE J0441+1436,,42,,
CWISE J0443+1257,,49,,
CWISE J0458+1004,,41,,
CWISE J0506+0738,,32,,
CWISE J0512+1658,,44,,
CWISE J0541-7450 b,6576,57,,
CWISE J0619+3446 b,420,36.65,,
CWISE J062911.12+395632.8 b,2200,,,
CWISE J1015-1115 (AB)b,5800,41.75,,
CWISE J105512.11+544328.3,,7,,
CWISE J1332-3749 b,5500,73.2,,
CWISE J1439+2559 b,680,58.6,,
CWISE J1440+3804 b,1200,89.3,,
CWISE J1519-4858,,,,
CWISE J1519-4858 b,,,,
CWISE J1606-1032 b,640,40.63,,
CWISE J1651+6953 b,700,56.5,,
CWISE J190907.63+553037.3,,,,
CWISE J190907.63+553037.3 b,,,,
