planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity
K2-183 c,Confirmed,10.792635,0.0932,K2-183,12.85,5436.47,329.041,0.670656337
K2-183 d,Confirmed,22.631964,0.1527,K2-183,12.85,5436.47,329.041,0.670656337
K2-183 e,Confirmed,2.1529,0.0318,K2-183,12.85,5436.47,329.041,0.670656337
K2-185 b,Confirmed,10.616646,23.20727704,K2-185,12.21,5788,268.357,0.804314423
K2-185 c,Confirmed,52.713494,0.2696,K2-185,12.21,5788,268.357,0.804314423
K2-187 b,Confirmed,0.77392,0.0164,K2-187,10.81796395,5484,333.51,4.477464409
K2-187 c,Confirmed,2.872042,0.0392,K2-187,10.81796395,5484,333.51,4.477464409
K2-187 d,Confirmed,7.14921,0.072,K2-187,10.81796395,5484,333.51,4.477464409
K2-187 e,Confirmed,13.609878,0.1106,K2-187,10.81796395,5484,333.51,4.477464409
K2-188 b,Confirmed,1.742169,0.0289,K2-188,10.81796395,5977,452.9,8.256938749
K2-188 c,Confirmed,7.810253,0.0785,K2-188,10.81796395,5977,452.9,8.256938749
K2-189 b,Confirmed,2.588309,0.0361,K2-189,10.81796395,5519,243.93,2.395216932
K2-189 c,Confirmed,6.679195,0.068,K2-189,10.81796395,5519,243.93,2.395216932
K2-18 b,Confirmed,32.939623,0.1429,K2-18,13.5,3457,38.07,0.004933621
K2-18 c,Confirmed,8.962,0.06,K2-18,13.5,3457,38.07,0.004933621
K2-190 b,Confirmed,10.098858,23.20727704,K2-190,10.81796395,5631,161.42,1.048887978
K2-190 c,Confirmed,21.574023,23.20727704,K2-190,10.81796395,5631,161.42,1.048887978
K2-195 b,Confirmed,15.852975,0.1208,K2-195,10.81796395,5713,317.83,4.066344764
K2-195 c,Confirmed,28.482786,23.20727704,K2-195,10.81796395,5713,317.83,4.066344764
K2-198 b,Confirmed,17.0428683,0.09083,K2-198,11,5212.9,110.91,0.418737071
K2-198 c,Confirmed,3.3596055,0.03077,K2-198,11,5212.9,110.91,0.418737071
K2-198 d,Confirmed,7.4500177,0.05234,K2-198,11,5212.9,110.91,0.418737071
K2-199 b,Confirmed,3.2253993,0.0382,K2-199,10.81796395,4648,107.97,0.469267659
K2-199 c,Confirmed,7.3744897,0.0662,K2-199,10.81796395,4648,107.97,0.469267659
K2-19 b,Confirmed,7.9194,0.074,K2-19,12.806,5430,292.14,0.550531344
K2-19 c,Confirmed,11.90715,0.0971,K2-19,12.806,5430,292.14,0.550531344
K2-19 d,Confirmed,2.50856,0.0344,K2-19,12.806,5430,292.14,0.550531344
K2-201 b,Confirmed,1.05979,23.20727704,K2-201,10.81796395,5507,199.05,1.594919564
K2-201 c,Confirmed,22.779878,23.20727704,K2-201,10.81796395,5507,199.05,1.594919564
K2-219 b,Confirmed,3.901287,23.20727704,K2-219,10.81796395,5753,328.42,4.341837998
K2-219 c,Confirmed,6.66767,23.20727704,K2-219,10.81796395,5753,328.42,4.341837998
K2-219 d,Confirmed,11.137278,23.20727704,K2-219,10.81796395,5753,328.42,4.341837998
K2-21 b,Confirmed,9.00315,0.076,K2-21,12.85,4222.06,83.85,0.043551802
K2-21 c,Confirmed,15,0.107,K2-21,12.85,4222.06,83.85,0.043551802
K2-223 b,Confirmed,0.50565,0.0127,K2-223,10.81796395,5835,201.1,1.627940631
K2-223 c,Confirmed,4.56327,0.0549,K2-223,10.81796395,5835,201.1,1.627940631
K2-224 b,Confirmed,4.47904,0.0516,K2-224,10.81796395,5620,277.7,3.104317843
K2-224 c,Confirmed,10.09489,0.0886,K2-224,10.81796395,5620,277.7,3.104317843
K2-229 b,Confirmed,0.58426,0.0131,K2-229,10.81796395,5315,103.8,0.43371968
K2-229 c,Confirmed,8.32727,0.0769,K2-229,10.81796395,5315,103.8,0.43371968
K2-229 d,Confirmed,31,0.182,K2-229,10.81796395,5315,103.8,0.43371968
K2-233 b,Confirmed,2.46746,0.03317,K2-233,10,4950,67.64,0.391207523
K2-233 c,Confirmed,7.06142,0.06687,K2-233,10,4950,67.64,0.391207523
K2-233 d,Confirmed,24.3662,0.1527,K2-233,10,4950,67.64,0.391207523
K2-239 b,Confirmed,5.24,0.0441,K2-239,14.549,3420,49,0.003110228
K2-239 c,Confirmed,7.775,0.0576,K2-239,14.549,3420,49,0.003110228
K2-239 d,Confirmed,10.115,0.0685,K2-239,14.549,3420,49,0.003110228
K2-240 b,Confirmed,6.034,0.0513,K2-240,13.92,3810,70,0.011329117
K2-240 c,Confirmed,20.523,0.1159,K2-240,13.92,3810,70,0.011329117
K2-243 b,Confirmed,11.54182,0.1087,K2-243,10.81796395,6570,269.2,2.917188768
K2-243 c,Confirmed,24.94598,0.1817,K2-243,10.81796395,6570,269.2,2.917188768
K2-247 Ab,Confirmed,2.25021,0.0304,K2-247,10.81796395,4667,260.2,2.725392184
K2-247 Ac,Confirmed,6.49424,0.0615,K2-247,10.81796395,4667,260.2,2.725392184
K2-24 b,Confirmed,20.88257,0.1673,K2-24,11.648,5726,170.5,0.544814637
K2-24 c,Confirmed,42.34732,0.262,K2-24,11.648,5726,170.5,0.544814637
K2-254 b,Confirmed,4.09639,0.0448,K2-254,10.81796395,4629,229.4,2.118367226
K2-254 c,Confirmed,12.11839,0.0923,K2-254,10.81796395,4629,229.4,2.118367226
K2-264 b,Confirmed,5.840002,0.05023,K2-264,10.81796395,3660,187,1.407659562
K2-264 c,Confirmed,19.660302,0.11283,K2-264,10.81796395,3660,187,1.407659562
K2-266 Ab,Confirmed,0.658524,0.01306,K2-266 A,10.81796395,4362,77.5586,0.242144352
K2-266 Ac,Confirmed,7.814,0.0679,K2-266 A,10.81796395,4362,77.5586,0.242144352
K2-266 Ad,Confirmed,14.697,0.1035,K2-266 A,10.81796395,4362,77.5586,0.242144352
K2-266 Ae,Confirmed,19.482,0.1249,K2-266 A,10.81796395,4362,77.5586,0.242144352
K2-268 b,Confirmed,2.151894,0.0308,K2-268,10.81796395,5068,331.46,4.422589939
K2-268 c,Confirmed,9.326841,0.0819,K2-268,10.81796395,5068,331.46,4.422589939
K2-268 d,Confirmed,4.528598,23.20727704,K2-268,10.81796395,5068,331.46,4.422589939
K2-268 e,Confirmed,6.131243,23.20727704,K2-268,10.81796395,5068,331.46,4.422589939
K2-268 f,Confirmed,26.27057,23.20727704,K2-268,10.81796395,5068,331.46,4.422589939
K2-270 b,Confirmed,1.543069,0.0247,K2-270,10.81796395,4877,283.53,3.236029391
K2-270 c,Confirmed,4.400028,0.0497,K2-270,10.81796395,4877,283.53,3.236029391
K2-275 Ab,Confirmed,3.280961,0.04,K2-275 A,12.06,4783.55,123.438,0.195387939
K2-275 Ac,Confirmed,8.438756,0.075,K2-275 A,12.06,4783.55,123.438,0.195387939
K2-282 b,Confirmed,4.169836,0.0499,K2-282,14.04,5317,496.289,0.509881552
K2-282 c,Confirmed,0.70531,0.0152,K2-282,14.04,5317,496.289,0.509881552
K2-282 d,Confirmed,27.263595,0.1725,K2-282,14.04,5317,496.289,0.509881552
K2-285 b,Confirmed,3.471745,0.03817,K2-285,12.03,4975,155.65,0.319373038
K2-285 c,Confirmed,7.138048,0.0824,K2-285,12.03,4975,155.65,0.319373038
K2-285 d,Confirmed,10.45582,0.1178,K2-285,12.03,4975,155.65,0.319373038
K2-285 e,Confirmed,14.76289,0.18041,K2-285,12.03,4975,155.65,0.319373038
K2-290 Ab,Confirmed,9.21165,0.0923,K2-290 A,10,6302,272.909,6.368478928
K2-290 Ac,Confirmed,48.36685,0.305,K2-290 A,10,6302,272.909,6.368478928
K2-299 b,Confirmed,4.50756,23.20727704,K2-299,13.12,5759,369.888,0.660907201
K2-299 c,Confirmed,0.911724,0.01859,K2-299,13.12,5759,369.888,0.660907201
K2-299 d,Confirmed,14.647531,0.11837,K2-299,13.12,5759,369.888,0.660907201
K2-301 b,Confirmed,5.29711,23.20727704,K2-301,16.74,4055,451.769,0.035142516
K2-301 c,Confirmed,0.354884,0.00841,K2-301,16.74,4055,451.769,0.035142516
K2-302 b,Confirmed,2.25372,0.0203,K2-302,10.81796395,3467,109.888,0.486088067
K2-302 c,Confirmed,0.623232,0.00862,K2-302,10.81796395,3467,109.888,0.486088067
K2-302 d,Confirmed,2.909219,0.024,K2-302,10.81796395,3467,109.888,0.486088067
K2-303 b,Confirmed,1.58252,23.20727704,EPIC 206317286,10.81796395,5319.019429,317.2,4.050240191
K2-303 c,Confirmed,17.515472,23.20727704,EPIC 206317286,10.81796395,5319.019429,317.2,4.050240191
K2-304 b,Confirmed,2.28943,23.20727704,K2-304,14.42,5171,418.395,0.25537182
K2-304 c,Confirmed,5.213965,0.0553,K2-304,14.42,5171,418.395,0.25537182
K2-307 b,Confirmed,15.2841,23.20727704,K2-307,12.49,6004,320.07,0.88407669
K2-307 c,Confirmed,23.228555,0.15886,K2-307,12.49,6004,320.07,0.88407669
K2-309 Ab,Confirmed,24.14041,0.1716,K2-309 A,10.1,4970,108.5,0.918035502
K2-309 Ac,Confirmed,8.24872,0.0839,K2-309 A,10.1,4970,108.5,0.918035502
K2-309 Ad,Confirmed,12.40214,0.1101,K2-309 A,10.1,4970,108.5,0.918035502
K2-309 Ae,Confirmed,46.768131,0.2667,K2-309 A,10.1,4970,108.5,0.918035502
K2-310 b,Confirmed,13.603,0.098,K2-310,14.8,4581,336.25,0.116231699
K2-310 c,Confirmed,65.55,0.28,K2-310,14.8,4581,336.25,0.116231699
K2-314 b,Confirmed,3.5951,0.047,EPIC 249893012,11.4,5430,324.7,2.48293058
K2-314 c,Confirmed,15.624,0.13,EPIC 249893012,11.4,5430,324.7,2.48293058
K2-314 d,Confirmed,35.747,0.22,EPIC 249893012,11.4,5430,324.7,2.48293058
K2-316 b,Confirmed,1.133,0.0147,K2-316,10.81796395,3436,112.84,0.512555121
K2-316 c,Confirmed,5.26,0.0582,K2-316,10.81796395,3436,112.84,0.512555121
K2-32 Ab,Confirmed,8.991828,0.08035,K2-32 A,12.31,5315,158.39,0.255538015
K2-32 Ac,Confirmed,20.66186,0.1399,K2-32 A,12.31,5315,158.39,0.255538015
K2-32 Ad,Confirmed,31.7142,0.1862,K2-32 A,12.31,5315,158.39,0.255538015
K2-32 Ae,Confirmed,4.34882,0.04951,K2-32 A,12.31,5315,158.39,0.255538015
K2-331 b,Confirmed,9.398977,0.09,K2-331,11.3,5994,211.43,1.154338603
K2-331 c,Confirmed,22.996591,0.163447,K2-331,11.3,5994,211.43,1.154338603
K2-343 b,Confirmed,2.787174,0.03057,K2-343,16.01,3804,166.169,0.009313223
K2-343 c,Confirmed,7.676972,0.06,K2-343,16.01,3804,166.169,0.009313223
K2-348 b,Confirmed,4.688418,0.05154,K2-348,12.56,5077,201.856,0.329672959
K2-348 c,Confirmed,12.550171,0.09937,K2-348,12.56,5077,201.856,0.329672959
K2-350 b,Confirmed,4.163873,0.0503,K2-350,13.46,5789,489.368,0.845806726
K2-350 c,Confirmed,19.991944,0.1432,K2-350,13.46,5789,489.368,0.845806726
K2-352 b,Confirmed,8.23,23.20727704,K2-352,11,5319.019429,479.7811606,7.835854827
K2-352 c,Confirmed,14.87,23.20727704,K2-352,11,5319.019429,479.7811606,7.835854827
K2-352 d,Confirmed,3.665912,23.20727704,K2-352,11,5319.019429,479.7811606,7.835854827
K2-35 b,Confirmed,2.399964,0.031,K2-35,10.81796395,4402.71,254.43,2.605859868
K2-35 c,Confirmed,5.608352,0.055,K2-35,10.81796395,4402.71,254.43,2.605859868
K2-361 b,Confirmed,0.578657,0.013596,K2-361,14,5627,561.929,0.678207974
K2-361 c,Confirmed,11.811437,0.1015,K2-361,14,5627,561.929,0.678207974
K2-368 b,Confirmed,5.02629,0.052109,K2-368,13.6,4663,206.608,0.132523918
K2-368 c,Confirmed,20.2009,0.131675,K2-368,13.6,4663,206.608,0.132523918
K2-368 d,Confirmed,9.65869,0.080477,K2-368,13.6,4663,206.608,0.132523918
K2-36 Bb,Confirmed,1.422614,0.0223,K2-36 B,11.8,4772.39,109.749,0.196246149
K2-36 Bc,Confirmed,5.3410507,0.054,K2-36 B,11.8,4772.39,109.749,0.196246149
K2-374 b,Confirmed,4.521953,0.0494,K2-374,12.8,5786,359.439,0.838012303
K2-374 c,Confirmed,16.43445,0.117,K2-374,12.8,5786,359.439,0.838012303
K2-37 b,Confirmed,4.44117,0.0511,K2-37,12.52,5413,180.86,0.274590212
K2-37 c,Confirmed,6.42904,0.0654,K2-37,12.52,5413,180.86,0.274590212
K2-37 d,Confirmed,14.09189,0.1103,K2-37,12.52,5413,180.86,0.274590212
K2-381 b,Confirmed,16.0343,0.11306,K2-381,13,4473,145.701,0.114531531
K2-381 c,Confirmed,7.9388,0.07,K2-381,13,4473,145.701,0.114531531
K2-381 d,Confirmed,26.8054,0.159237,K2-381,13,4473,145.701,0.114531531
K2-384 b,Confirmed,2.231527,23.20727704,K2-384,10.81796395,3623,82.6603,0.275047927
K2-384 c,Confirmed,4.194766,23.20727704,K2-384,10.81796395,3623,82.6603,0.275047927
K2-384 d,Confirmed,6.679582,23.20727704,K2-384,10.81796395,3623,82.6603,0.275047927
K2-384  e,Confirmed,9.715043,23.20727704,K2-384,10.81796395,3623,82.6603,0.275047927
K2-384 f,Confirmed,13.62749,23.20727704,K2-384,10.81796395,3623,82.6603,0.275047927
K2-389 b,Confirmed,8.584043,0.0762,K2-389,11.71,5782,259.208,1.189314742
K2-389 c,Confirmed,20.851337,0.1378,K2-389,11.71,5782,259.208,1.189314742
K2-38 b,Confirmed,4.01593,0.04994,K2-38,11.4,5705,192.69,0.874416519
K2-38 c,Confirmed,10.56103,0.0964,K2-38,11.4,5705,192.69,0.874416519
K2-395 b,Confirmed,4.803352,0.0548,K2-395,14.67,5007,286.727,0.095265836
K2-395 c,Confirmed,8.491282,0.0801,K2-395,14.67,5007,286.727,0.095265836
K2-396 b,Confirmed,0.673862,0.0148,K2-396,13.24,5236,274.864,0.326765144
K2-396 c,Confirmed,25.76051,0.1681,K2-396,13.24,5236,274.864,0.326765144
K2-398 b,Confirmed,6.393025,0.0664,K2-398,13.15,5946,606.992,1.731274508
K2-398 c,Confirmed,18.787839,0.1362,K2-398,13.15,5946,606.992,1.731274508
K2-3 b,Confirmed,10.054626,0.0775,K2-3,12.17,3896,45,0.023465241
K2-3 c,Confirmed,24.646582,0.1405,K2-3,12.17,3896,45,0.023465241
K2-3 d,Confirmed,44.55646,0.2086,K2-3,12.17,3896,45,0.023465241
K2-407 b,Confirmed,4.941907,0.05445,K2-407,12.19,5563,218.376,0.54251258
K2-407 c,Confirmed,9.22453,0.08267,K2-407,12.19,5563,218.376,0.54251258
K2-413 b,Confirmed,0.8094,0.0117,K2-413,10.81796395,4116,292.52,3.44449494
K2-413 c,Confirmed,5.3301,0.0426,K2-413,10.81796395,4116,292.52,3.44449494
K2-414 b,Confirmed,4.3696,0.0487,K2-414,14.3,4343,260.036,0.110170914
K2-414 c,Confirmed,6.669,0.0552,K2-414,14.3,4343,260.036,0.110170914
K2-43 b,Confirmed,3.471149,0.0201,K2-43,15.6,3840.6,183.48,0.016564467
K2-43 c,Confirmed,2.198884,0.0148,K2-43,15.6,3840.6,183.48,0.016564467
K2-50 b,Confirmed,8.7529,0.0705,K2-50,10.81796395,5319.019429,259.33,2.707197508
K2-50 c,Confirmed,3.96151,23.20727704,K2-50,10.81796395,5319.019429,259.33,2.707197508
K2-58 b,Confirmed,7.05254,0.0692,K2-58,10.81796395,5413,182.69,1.343519497
K2-58 c,Confirmed,2.53726,0.035,K2-58,10.81796395,5413,182.69,1.343519497
K2-58 d,Confirmed,22.8827,0.1517,K2-58,10.81796395,5413,182.69,1.343519497
K2-59 b,Confirmed,20.6921,0.1354,K2-59,10.81796395,5055,314.09,3.971208055
K2-59 c,Confirmed,11.2954,0.0905,K2-59,10.81796395,5055,314.09,3.971208055
K2-5 b,Confirmed,5.73594,0.0532,K2-5,14.91,4066,202.943,0.038260281
K2-5 c,Confirmed,10.93241,0.0818,K2-5,14.91,4066,202.943,0.038260281
K2-62 b,Confirmed,6.67202,0.0636,K2-62,10.81796395,4880,112.83,0.512464278
K2-62 c,Confirmed,16.1966,0.1148,K2-62,10.81796395,4880,112.83,0.512464278
K2-63 b,Confirmed,20.257,0.1627,K2-63,10.81796395,6771,524.41,11.07022253
K2-63 c,Confirmed,25.4556,0.189,K2-63,10.81796395,6771,524.41,11.07022253
K2-72 b,Confirmed,5.577212,0.04,K2-72,10.81796395,3360.47,66.56,0.178336832
K2-72 c,Confirmed,15.189034,0.078,K2-72,10.81796395,3360.47,66.56,0.178336832
K2-72 d,Confirmed,7.760178,0.05,K2-72,10.81796395,3360.47,66.56,0.178336832
K2-72 e,Confirmed,24.158868,0.106,K2-72,10.81796395,3360.47,66.56,0.178336832
K2-75 b,Confirmed,7.8142,0.081,K2-75,10.81796395,5995,570.86,13.11818188
K2-75 c,Confirmed,18.311,0.1429,K2-75,10.81796395,5995,570.86,13.11818188
K2-80 b,Confirmed,19.0918,0.135,K2-80,10.81796395,5441,201.96,1.641894113
K2-80 c,Confirmed,5.605,0.0596,K2-80,10.81796395,5441,201.96,1.641894113
K2-80 d,Confirmed,28.867253,23.20727704,K2-80,10.81796395,5441,201.96,1.641894113
K2-83 b,Confirmed,2.74697,0.03014,K2-83,10.81796395,3910,125.98,0.638877553
K2-83 c,Confirmed,9.99767,0.07131,K2-83,10.81796395,3910,125.98,0.638877553
K2-84 b,Confirmed,6.4215,0.0665,K2-84,10.81796395,5652,287.23,3.321039324
K2-84 c,Confirmed,27.86,0.1768,K2-84,10.81796395,5652,287.23,3.321039324
K2-8 b,Confirmed,10.35239,0.0856,K2-8,14.384,4846,407.93,0.250940807
K2-8 c,Confirmed,5.06416,0.0532,K2-8,14.384,4846,407.93,0.250940807
K2-90 b,Confirmed,13.733314,0.096,K2-90,10.81796395,4484,134.9,0.732551768
K2-90 c,Confirmed,2.900706,0.035,K2-90,10.81796395,4484,134.9,0.732551768
K2-99 b,Confirmed,18.24783,0.153,K2-99,11.149,6217,522.29,8.095122431
K2-99 c,Confirmed,522.2,1.43,K2-99,11.149,6217,522.29,8.095122431
KELT-6 b,Confirmed,7.8456067,0.0747,KELT-6,10.38,6272,479.7811606,13.87031682
KELT-6 c,Confirmed,1276,2.39,KELT-6,10.38,6272,479.7811606,13.87031682
Kepler-1001 b,Confirmed,14.30511983,23.20727704,Kepler-1001,10.81796395,5491,1009,40.98234019
Kepler-1001 c,Confirmed,9.18186,23.20727704,Kepler-1001,10.81796395,5491,1009,40.98234019
Kepler-100 b,Confirmed,6.88705,23.20727704,Kepler-100,10.81796395,5825,307.34,3.802354421
Kepler-100 c,Confirmed,12.8159,23.20727704,Kepler-100,10.81796395,5825,307.34,3.802354421
Kepler-100 d,Confirmed,35.3331,23.20727704,Kepler-100,10.81796395,5825,307.34,3.802354421
Kepler-100 e,Confirmed,60.89,0.31,Kepler-100,10.81796395,5825,307.34,3.802354421
