planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity
Kepler-1016 b,Confirmed,1.95452434,23.20727704,Kepler-1016,10.81796395,5821,1239,61.79552615
Kepler-1016 c,Confirmed,105.6551369,23.20727704,Kepler-1016,10.81796395,5821,1239,61.79552615
Kepler-101 b,Confirmed,3.4876812,0.0474,Kepler-101,10.81796395,5667,953.44,36.59326475
Kepler-101 c,Confirmed,6.02976,0.0684,Kepler-101,10.81796395,5667,953.44,36.59326475
Kepler-102 b,Confirmed,5.28696,0.055,Kepler-102,11.492,4909,108.13,0.252983622
Kepler-102 c,Confirmed,7.07142,0.067,Kepler-102,11.492,4909,108.13,0.252983622
Kepler-102 d,Confirmed,10.3117,23.20727704,Kepler-102,11.492,4909,108.13,0.252983622
Kepler-102 e,Confirmed,16.1457,0.117,Kepler-102,11.492,4909,108.13,0.252983622
Kepler-102 f,Confirmed,27.4536,0.165,Kepler-102,11.492,4909,108.13,0.252983622
Kepler-1038 b,Confirmed,148.4603382,23.20727704,Kepler-1038,10.81796395,5238,584.136,13.73543337
Kepler-1038 c,Confirmed,7.127659798,0.0692,Kepler-1038,10.81796395,5238,584.136,13.73543337
Kepler-103 b,Confirmed,15.9654,0.133,Kepler-103,12.287,5845,501.93,2.621116401
Kepler-103 c,Confirmed,179.612,0.6679,Kepler-103,12.287,5845,501.93,2.621116401
Kepler-1047 b,Confirmed,56.1886887,23.20727704,Kepler-1047,10.81796395,5754,566,12.89577015
Kepler-1047 c,Confirmed,3.18897601,23.20727704,Kepler-1047,10.81796395,5754,566,12.89577015
Kepler-104 Ab,Confirmed,11.427548,0.09286,Kepler-104 A,10.81796395,5921,400.785,6.466024407
Kepler-104 Ac,Confirmed,23.668205,0.15088,Kepler-104 A,10.81796395,5921,400.785,6.466024407
Kepler-104 Ad,Confirmed,51.755394,0.2542,Kepler-104 A,10.81796395,5921,400.785,6.466024407
Kepler-1050 b,Confirmed,15.3787546,23.20727704,Kepler-1050,10.81796395,6010,555,12.39939193
Kepler-1050 c,Confirmed,21.1284569,23.20727704,Kepler-1050,10.81796395,6010,555,12.39939193
Kepler-105 b,Confirmed,5.4122,0.066,Kepler-105,10.81796395,5827,465.33,8.71638745
Kepler-105 c,Confirmed,7.1262,0.072,Kepler-105,10.81796395,5827,465.33,8.71638745
Kepler-1065 b,Confirmed,3.60930891,23.20727704,Kepler-1065,10.81796395,5635,1078,46.77910875
Kepler-1065 c,Confirmed,2.37030743,23.20727704,Kepler-1065,10.81796395,5635,1078,46.77910875
Kepler-1067 b,Confirmed,0.76212926,23.20727704,Kepler-1067,14.395,5461,667.693,0.665508561
Kepler-1067 c,Confirmed,5.425839901,0.0601,Kepler-1067,14.395,5461,667.693,0.665508561
Kepler-106 b,Confirmed,6.16486,23.20727704,Kepler-106,12.882,5858,449.98,1.217829312
Kepler-106 c,Confirmed,13.5708,23.20727704,Kepler-106,12.882,5858,449.98,1.217829312
Kepler-106 d,Confirmed,23.9802,23.20727704,Kepler-106,12.882,5858,449.98,1.217829312
Kepler-106 e,Confirmed,43.8445,23.20727704,Kepler-106,12.882,5858,449.98,1.217829312
Kepler-1073 b,Confirmed,8.67888593,23.20727704,Kepler-1073,14.749,5774,809.897,0.706739851
Kepler-1073 c,Confirmed,4.02582254,23.20727704,Kepler-1073,14.749,5774,809.897,0.706739851
Kepler-1073 d,Confirmed,2.50475282,0.0352,Kepler-1073,14.749,5774,809.897,0.706739851
Kepler-107 b,Confirmed,3.1800218,0.04544,Kepler-107,10.81796395,5854,525.5,11.11628985
Kepler-107 c,Confirmed,4.901452,0.06064,Kepler-107,10.81796395,5854,525.5,11.11628985
Kepler-107 d,Confirmed,7.95839,0.08377,Kepler-107,10.81796395,5854,525.5,11.11628985
Kepler-107 e,Confirmed,14.749143,0.12639,Kepler-107,10.81796395,5854,525.5,11.11628985
Kepler-1085 b,Confirmed,219.3217528,23.20727704,Kepler-1085,10.81796395,6000,1518,92.75940724
Kepler-1085 c,Confirmed,56.7771,23.20727704,Kepler-1085,10.81796395,6000,1518,92.75940724
Kepler-1086 Bb,Confirmed,18.78429232,0.1198,Kepler-1086 B,16,4484.48,466.084,0.073948333
Kepler-1086 Bc,Confirmed,161.515617,0.503,Kepler-1086 B,16,4484.48,466.084,0.073948333
Kepler-108 Bb,Confirmed,49.183921,0.2829,Kepler-108 B,12.66,5626,689.95,3.512652904
Kepler-108 Bc,Confirmed,190.323494,0.6972,Kepler-108 B,12.66,5626,689.95,3.512652904
Kepler-1090 b,Confirmed,198.680179,23.20727704,Kepler-1090,15.31,5217,858.77,0.473973138
Kepler-1090 c,Confirmed,42.42720032,0.2274,Kepler-1090,15.31,5217,858.77,0.473973138
Kepler-1093 b,Confirmed,25.0824626,23.20727704,Kepler-1093,10.81796395,6166,848,28.94717096
Kepler-1093 c,Confirmed,89.722292,23.20727704,Kepler-1093,10.81796395,6166,848,28.94717096
Kepler-109 b,Confirmed,6.48163,23.20727704,Kepler-109,12.365,5952,481.4,2.243944813
Kepler-109 c,Confirmed,21.2227,23.20727704,Kepler-109,12.365,5952,481.4,2.243944813
Kepler-10 b,Confirmed,0.837491,0.0172,Kepler-10,11.16,5708,186.5,1.021780646
Kepler-10 c,Confirmed,45.2946,0.241,Kepler-10,11.16,5708,186.5,1.021780646
Kepler-10 d,Confirmed,151.04,0.538,Kepler-10,11.16,5708,186.5,1.021780646
Kepler-110 b,Confirmed,12.691112,0.107,Kepler-110,10.81796395,5960,596.52,14.32400421
Kepler-110 c,Confirmed,31.719775,0.198,Kepler-110,10.81796395,5960,596.52,14.32400421
Kepler-111 b,Confirmed,3.341815,0.046,Kepler-111,10.81796395,5952,669.92,18.0659294
Kepler-111 c,Confirmed,224.784608,0.761,Kepler-111,10.81796395,5952,669.92,18.0659294
Kepler-1126 b,Confirmed,108.593329,23.20727704,Kepler-1126,10.81796395,5798,668,17.96252338
Kepler-1126 c,Confirmed,199.6679993,0.6193,Kepler-1126,10.81796395,5798,668,17.96252338
Kepler-1129 b,Confirmed,24.3397804,23.20727704,Kepler-1129,10.81796395,5831,1258,63.70532033
Kepler-1129 c,Confirmed,76.5369586,23.20727704,Kepler-1129,10.81796395,5831,1258,63.70532033
Kepler-112 b,Confirmed,8.408878,0.076,Kepler-112,10.81796395,5544,520.9,10.92252724
